domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
DataCatalog, DataDownload, Dataset, PropertyValue	measurement_technique	Text, URL	measurement-technique	measurementTechnique	pending:							"A technique or technology used in a <a class=""localLink"" href=""/Dataset"">Dataset</a> (or <a class=""localLink"" href=""/DataDownload"">DataDownload</a>, <a class=""localLink"" href=""/DataCatalog"">DataCatalog</a>),
corresponding to the method used for measuring the corresponding variable(s) (described using <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a>). This is oriented towards scientific and scholarly dataset publication but may have broader applicability; it is not intended as a full representation of measurement, but rather as a high level summary for dataset discovery.<br/><br/>

For example, if <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> is: molecule concentration, <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a> could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"".<br/><br/>

If the <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> is ""depression rating"", the <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a> could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".<br/><br/>

If there are several <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> properties recorded for some given data object, use a <a class=""localLink"" href=""/PropertyValue"">PropertyValue</a> for each <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> and attach the corresponding <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a>."
SoftwareApplication	memory_requirements	Text, URL	memory-requirements	memoryRequirements								Minimum memory requirements.
Role	named_position	Text, URL	named-position	namedPosition							roleName	A position played, performed or filled by a person or organization, as part of an organization. For example, an athlete in a SportsTeam might play in the position named 'Quarterback'.
PropertyValue	property_id	Text, URL	property-id	propertyID								"A commonly used identifier for the characteristic represented by the property, e.g. a manufacturer or a standard code for a property. propertyID can be
(1) a prefixed string, mainly meant to be used with standards for product properties; (2) a site-specific, non-prefixed string (e.g. the primary key of the property or the vendor-specific ID of the property), or (3)
a URL indicating the type of the property, either pointing to an external vocabulary, or a Web resource that describes the property (e.g. a glossary entry).
Standards bodies should promote a standard prefix for the identifiers of properties from their standards."
SoftwareApplication	release_notes	Text, URL	release-notes	releaseNotes								Description of what changed in this version.
SoftwareApplication	requirements	Text, URL	requirements	requirements							softwareRequirements	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).
Role	role_name	Text, URL	role-name	roleName						namedPosition		A role played, performed or filled by a person or organization. For example, the team of creators for a comic book might fill the roles named 'inker', 'penciller', and 'letterer'; or an athlete in a SportsTeam might play in the position named 'Quarterback'.
CreativeWork	schema_version	Text, URL	schema-version	schemaVersion								"Indicates (by URL or string) a particular version of a schema used in some CreativeWork. This property was created primarily to
    indicate the use of a specific schema.org release, e.g. <code>10.0</code> as a simple string, or more explicitly via URL, <code>docs/releases.html#v10.0</code>. There may be situations in which other schemas might usefully be referenced this way, e.g. <code>http://dublincore.org/specifications/dublin-core/dces/1999-07-02/</code> but this has not been carefully explored in the community."
JobPosting	security_clearance_requirement	Text, URL	security-clearance-requirement	securityClearanceRequirement	pending:							A description of any security clearance requirements of the job.
SoftwareApplication	software_requirements	Text, URL	software-requirements	softwareRequirements						requirements		Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (examples: DirectX, Java or .NET runtime).
SportsEvent, SportsOrganization	sport	Text, URL	sport	sport	pending:							A type of sport (e.g. Baseball).
SoftwareApplication	storage_requirements	Text, URL	storage-requirements	storageRequirements								Storage requirements (free space required).
VisualArtwork	surface	Text, URL	surface	surface		material					artworkSurface	A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.
Service	terms_of_service	Text, URL	terms-of-service	termsOfService	pending:							Human-readable terms of service documentation.
Ticket	ticket_token	Text, URL	ticket-token	ticketToken								Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.
Movie, TVEpisode	title_eidr	Text, URL	title-eidr	titleEIDR	pending:	identifier						"An <a href=""https://eidr.org/"">EIDR</a> (Entertainment Identifier Registry) <a class=""localLink"" href=""/identifier"">identifier</a> representing at the most general/abstract level, a work of film or television.<br/><br/>

For example, the motion picture known as ""Ghostbusters"" has a titleEIDR of  ""10.5240/7EC7-228A-510A-053E-CBB8-J"". This title (or work) may have several variants, which EIDR calls ""edits"". See <a class=""localLink"" href=""/editEIDR"">editEIDR</a>.<br/><br/>

Since schema.org types like <a class=""localLink"" href=""/Movie"">Movie</a> and <a class=""localLink"" href=""/TVEpisode"">TVEpisode</a> can be used for both works and their multiple expressions, it is possible to use <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> alone (for a general description), or alongside <a class=""localLink"" href=""/editEIDR"">editEIDR</a> for a more edit-specific description."
PropertyValue, QuantitativeValue, TypeAndQuantityNode, UnitPriceSpecification	unit_code	Text, URL	unit-code	unitCode								The unit of measurement given using the UN/CEFACT Common Code (3 characters) or a URL. Other codes than the UN/CEFACT Common Code may be used with a prefix followed by a colon.
HealthInsurancePlan	uses_health_plan_id_standard	Text, URL	uses-health-plan-id-standard	usesHealthPlanIdStandard	pending:							The standard for interpreting the Plan ID. The preferred is "HIOS". See the Centers for Medicare &amp; Medicaid Services for more details.
Drug	warning	Text, URL	warning	warning								Any FDA or other warnings about the drug (text or URL).
