label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
legislationDate	pending:	dateCreated	http://data.europa.eu/eli/ontology#date_document		Legislation	Date				The date of adoption or signature of the legislation. This is the date at which the text is officially aknowledged to be a legislation, even though it might not even be published or in force.
legislationDateVersion	pending:		http://data.europa.eu/eli/ontology#version_date		Legislation	Date				"The point-in-time at which the provided description of the legislation is valid (e.g.: when looking at the law on the 2016-04-07 (= dateVersion), I get the consolidation of 2015-04-12 of the ""National Insurance Contributions Act 2015"")"
legislationIdentifier	pending:	identifier			Legislation	Text, URL				An identifier for the legislation. This can be either a string-based identifier, like the CELEX at EU level or the NOR in France, or a web-based, URL/URI identifier, like an ELI (European Legislation Identifier) or an URN-Lex.
legislationJurisdiction	pending:	jurisdiction, spatialCoverage	http://data.europa.eu/eli/ontology#jurisdiction		Legislation	AdministrativeArea, Text				The jurisdiction from which the legislation originates.
legislationLegalForce	pending:		http://data.europa.eu/eli/ontology#in_force		Legislation	LegalForceStatus				Whether the legislation is currently in force, not in force, or partially in force.
legislationLegalValue	pending:		http://data.europa.eu/eli/ontology#legal_value		LegislationObject	LegalValueLevel				"The legal value of this legislation file. The same legislation can be written in multiple files with different legal values. Typically a digitally signed PDF have a ""stronger"" legal value than the HTML file of the same act."
legislationPassedBy	pending:	creator	http://data.europa.eu/eli/ontology#passed_by		Legislation	Organization, Person				"The person or organization that originally passed or made the law: typically parliament (for primary legislation) or government (for secondary legislation). This indicates the ""legal author"" of the law, as opposed to its physical author."
legislationResponsible	pending:		http://data.europa.eu/eli/ontology#responsibility_of		Legislation	Organization, Person				An individual or organization that has some kind of responsibility for the legislation. Typically the ministry who is/was in charge of elaborating the legislation, or the adressee for potential questions about the legislation once it is published.
legislationTransposes	pending:	legislationApplies	http://data.europa.eu/eli/ontology#transposes		Legislation	Legislation				Indicates that this legislation (or part of legislation) fulfills the objectives set by another legislation, by passing appropriate implementation measures. Typically, some legislations of European Union's member states or regions transpose European Directives. This indicates a legally binding link between the 2 legislations.
legislationType	pending:	genre	http://data.europa.eu/eli/ontology#type_document		Legislation	CategoryCode, Text				"The type of the legislation. Examples of values are ""law"", ""act"", ""directive"", ""decree"", ""regulation"", ""statutory instrument"", ""loi organique"", ""règlement grand-ducal"", etc., depending on the country."
leiCode		identifier			Organization	Text				An organization identifier that uniquely identifies a legal entity as defined in ISO 17442.
lender		participant			BorrowAction	Organization, Person				A sub property of participant. The person that lends the object being borrowed.
lesser					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is lesser than the object.
lesserOrEqual					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is lesser than or equal to the object.
letterer	https://bib.schema.org				ComicIssue, ComicStory, VisualArtwork	Person				The individual who adds lettering, including speech balloons and sound effects, to artwork.
license					CreativeWork	CreativeWork, URL				A license document that applies to this content, typically indicated by URL.
line					GeoShape	Text				A line is a point-to-point path consisting of two or more points. A line is expressed as a series of two or more point objects separated by space.
linkRelationship	pending:				LinkRole	Text				Indicates the relationship type of a Web link.
liveBlogUpdate					LiveBlogPosting	BlogPosting				An update to the LiveBlog.
loanMortgageMandateAmount	pending:				MortgageLoan	MonetaryAmount				Amount of mortgage mandate that can be converted into a proper mortgage at a later stage.
loanPaymentAmount	pending:				RepaymentSpecification	MonetaryAmount				The amount of money to pay in a single payment.
loanPaymentFrequency	pending:				RepaymentSpecification	Number				Frequency of payments due, i.e. number of months between payments. This is defined as a frequency, i.e. the reciprocal of a period of time.
loanRepaymentForm	pending:				LoanOrCredit	RepaymentSpecification				A form of paying back money previously borrowed from a lender. Repayment usually takes the form of periodic payments that normally include part principal plus interest in each payment.
loanTerm		duration			LoanOrCredit	QuantitativeValue				The duration of the loan or credit agreement.
loanType	pending:				LoanOrCredit	Text, URL				The type of a loan or credit.
location				course, entertainmentBusiness, exerciseCourse, foodEstablishment, foodEvent, fromLocation, homeLocation, itemLocation, sportsActivityLocation, sportsEvent, toLocation, workLocation	Action, Event, InteractionCounter, Organization	Place, PostalAddress, Text, VirtualLocation				The location of, for example, where an event is happening, where an organization is located, or where an action takes place.
locationCreated					CreativeWork	Place				The location where the CreativeWork was created, which may not be the same as the location depicted in the CreativeWork.
lodgingUnitDescription					LodgingReservation	Text				A full description of the lodging unit.
lodgingUnitType					LodgingReservation	QualitativeValue, Text				Textual description of the unit type (including suite vs. room, size of bed, etc.).
logo		image			Brand, Organization, Place, Product, Service	ImageObject, URL				An associated logo.
longitude					GeoCoordinates, Place	Number, Text				"The longitude of a location. For example <code>-122.08585</code> (<a href=""https://en.wikipedia.org/wiki/World_Geodetic_System"">WGS 84</a>)."
loser		participant			WinAction	Person				A sub property of participant. The loser of the action.
lowPrice					AggregateOffer	Number, Text				"The lowest price of all offers available.<br/><br/>

Usage guidelines:<br/><br/>

<ul>
<li>Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similar Unicode symbols.</li>
<li>Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.</li>
</ul>"
lyricist					MusicComposition	Person				The person who wrote the words.
lyrics					MusicComposition	CreativeWork				The words in the song.
mainContentOfPage					WebPage	WebPageElement		aspect		Indicates if this web page element is the main subject of the page.
mainEntity		about			CreativeWork	Thing	mainEntityOfPage			Indicates the primary entity described in some page or other CreativeWork.
mainEntityOfPage					Thing	CreativeWork, URL	mainEntity			"Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See <a href=""/docs/datamodel.html#mainEntityBackground"">background notes</a> for details."
maintainer	pending:				CreativeWork	Organization, Person				"A maintainer of a <a class=""localLink"" href=""/Dataset"">Dataset</a>, software package (<a class=""localLink"" href=""/SoftwareApplication"">SoftwareApplication</a>), or other <a class=""localLink"" href=""/Project"">Project</a>. A maintainer is a <a class=""localLink"" href=""/Person"">Person</a> or <a class=""localLink"" href=""/Organization"">Organization</a> that manages contributions to, and/or publication of, some (typically complex) artifact. It is common for distributions of software and data to be based on ""upstream"" sources. When <a class=""localLink"" href=""/maintainer"">maintainer</a> is applied to a specific version of something e.g. a particular version or packaging of a <a class=""localLink"" href=""/Dataset"">Dataset</a>, it is always  possible that the upstream source has a different maintainer. The <a class=""localLink"" href=""/isBasedOn"">isBasedOn</a> property can be used to indicate such relationships between datasets to make the different maintenance roles clear. Similarly in the case of software, a package may have dedicated maintainers working on integration into software distributions such as Ubuntu, as well as upstream maintainers of the underlying work."
makesOffer					Organization, Person	Offer	offeredBy			A pointer to products or services offered by the organization or person.
manufacturer					Product	Organization				The manufacturer of the product.
map					Place	URL			hasMap	A URL to a map of the place.
mapType					Map	MapCategoryType				Indicates the kind of Map, from the MapCategoryType Enumeration.
maps					Place	URL			hasMap	A URL to a map of the place.
marginOfError	pending:				Observation	QuantitativeValue				"A marginOfError for an <a class=""localLink"" href=""/Observation"">Observation</a>."
masthead	pending:	publishingPrinciples			NewsMediaOrganization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a link to the masthead page or a page listing top editorial management."
material				artMedium, surface	CreativeWork, Product	Product, Text, URL				A material that something is made from, e.g. leather, wool, cotton, paper.
materialExtent	pending:				CreativeWork	QuantitativeValue, Text				The quantity of the materials being described or an expression of the physical space they occupy.
mathExpression	pending:				MathSolver	SolveMathAction, Text				A mathematical expression (e.g. 'x^2-3x=0') that may be solved for a specific variable, simplified, or transformed. This can take many formats, e.g. LaTeX, Ascii-Math, or math as you would write with a keyboard.
maxPrice					PriceSpecification	Number				The highest price if the price is a range.
maxValue					MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue	Number				The upper value of some characteristic or property.
maximumAttendeeCapacity					Event, Place	Integer				The total number of individuals that may attend an event or venue.
maximumEnrollment	pending:				EducationalOccupationalProgram	Integer				The maximum number of students who may be enrolled in the program.
maximumIntake					DietarySupplement, Drug, DrugStrength, Substance	MaximumDoseSchedule				Recommended intake of this supplement for a given population as defined by a specific recommending authority.
maximumPhysicalAttendeeCapacity	pending:				Event	Integer				"The maximum physical attendee capacity of an <a class=""localLink"" href=""/Event"">Event</a> whose <a class=""localLink"" href=""/eventAttendanceMode"">eventAttendanceMode</a> is <a class=""localLink"" href=""/OfflineEventAttendanceMode"">OfflineEventAttendanceMode</a> (or the offline aspects, in the case of a <a class=""localLink"" href=""/MixedEventAttendanceMode"">MixedEventAttendanceMode</a>)."
maximumVirtualAttendeeCapacity	pending:				Event	Integer				"The maximum physical attendee capacity of an <a class=""localLink"" href=""/Event"">Event</a> whose <a class=""localLink"" href=""/eventAttendanceMode"">eventAttendanceMode</a> is <a class=""localLink"" href=""/OnlineEventAttendanceMode"">OnlineEventAttendanceMode</a> (or the online aspects, in the case of a <a class=""localLink"" href=""/MixedEventAttendanceMode"">MixedEventAttendanceMode</a>)."
mealService					Flight	Text				Description of the meals that will be provided or available for purchase.
measuredProperty	pending:				Observation	Property				"The measuredProperty of an <a class=""localLink"" href=""/Observation"">Observation</a>, either a schema.org property, a property from other RDF-compatible systems, e.g. W3C RDF Data Cube, or schema.org extensions such as <a href=""https://www.gs1.org/voc/?show=properties"">GS1's</a>."
measuredValue	pending:				Observation	DataType				"The measuredValue of an <a class=""localLink"" href=""/Observation"">Observation</a>."
measurementTechnique	pending:				DataCatalog, DataDownload, Dataset, PropertyValue	Text, URL				"A technique or technology used in a <a class=""localLink"" href=""/Dataset"">Dataset</a> (or <a class=""localLink"" href=""/DataDownload"">DataDownload</a>, <a class=""localLink"" href=""/DataCatalog"">DataCatalog</a>),
corresponding to the method used for measuring the corresponding variable(s) (described using <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a>). This is oriented towards scientific and scholarly dataset publication but may have broader applicability; it is not intended as a full representation of measurement, but rather as a high level summary for dataset discovery.<br/><br/>

For example, if <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> is: molecule concentration, <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a> could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"".<br/><br/>

If the <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> is ""depression rating"", the <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a> could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".<br/><br/>

If there are several <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> properties recorded for some given data object, use a <a class=""localLink"" href=""/PropertyValue"">PropertyValue</a> for each <a class=""localLink"" href=""/variableMeasured"">variableMeasured</a> and attach the corresponding <a class=""localLink"" href=""/measurementTechnique"">measurementTechnique</a>."
mechanismOfAction					DietarySupplement, Drug	Text				The specific biochemical interaction through which this drug or supplement produces its pharmacological effect.
mediaAuthenticityCategory	pending:				MediaReview	MediaManipulationRatingEnumeration				Indicates a MediaManipulationRatingEnumeration classification of a media object (in the context of how it was published or shared).
mediaItemAppearance	pending:				MediaReviewItem	MediaObject				"In the context of a <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, indicates specific media item(s) that are grouped using a <a class=""localLink"" href=""/MediaReviewItem"">MediaReviewItem</a>."
median					QuantitativeValueDistribution	Number				The median value.
medicalAudience					MedicalWebPage	MedicalAudience, MedicalAudienceType				Medical audience for page.
medicalSpecialty					Hospital, MedicalClinic, MedicalOrganization, Physician	MedicalSpecialty				A medical specialty of the provider.
medicineSystem					MedicalEntity	MedicineSystem				The system of medicine that includes this MedicalEntity, for example 'evidence-based', 'homeopathic', 'chiropractic', etc.
meetsEmissionStandard	https://auto.schema.org				Vehicle	QualitativeValue, Text, URL				Indicates that the vehicle meets the respective emission standard.
member					Organization, ProgramMembership	Organization, Person	memberOf	members, musicGroupMember		"A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals."
memberOf				affiliation	Organization, Person	Organization, ProgramMembership	member			An Organization (or ProgramMembership) to which this Person or Organization belongs.
members					Organization, ProgramMembership	Organization, Person			member	A member of this organization.
membershipNumber					ProgramMembership	Text				A unique identifier for the membership.
membershipPointsEarned	pending:				ProgramMembership	Number, QuantitativeValue				The number of membership points earned by the member. If necessary, the unitText can be used to express the units the points are issued in. (E.g. stars, miles, etc.)
memoryRequirements					SoftwareApplication	Text, URL				Minimum memory requirements.
mentions					CreativeWork	Thing				Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.
menu					FoodEstablishment	Menu, Text, URL			hasMenu	Either the actual menu as a structured representation, as text, or a URL of the menu.
menuAddOn					MenuItem	MenuItem, MenuSection				Additional menu item(s) such as a side dish of salad or side order of fries that can be added to this menu item. Additionally it can be a menu section containing allowed add-on menu items for this menu item.
merchant					Order	Organization, Person			seller	'merchant' is an out-dated term for 'seller'.
merchantReturnDays	pending:				MerchantReturnPolicy, MerchantReturnPolicySeasonalOverride	Date, DateTime, Integer		productReturnDays		"Specifies either a fixed return date or the number of days (from the delivery date) that a product can be returned. Used when the <a class=""localLink"" href=""/returnPolicyCategory"">returnPolicyCategory</a> property is specified as <a class=""localLink"" href=""/MerchantReturnFiniteReturnWindow"">MerchantReturnFiniteReturnWindow</a>."
merchantReturnLink	pending:				MerchantReturnPolicy	URL		productReturnLink		Specifies a Web page or service by URL, for product returns.
messageAttachment					Message	CreativeWork				A CreativeWork attached to the message.
mileageFromOdometer					Vehicle	QuantitativeValue				"The total distance travelled by the particular vehicle since its initial production, as read from its odometer.<br/><br/>

Typical unit code(s): KMT for kilometers, SMI for statute miles"
minPrice					PriceSpecification	Number				The lowest price if the price is a range.
minValue					MonetaryAmount, PropertyValue, PropertyValueSpecification, QuantitativeValue	Number				The lower value of some characteristic or property.
minimumPaymentDue					Invoice	MonetaryAmount, PriceSpecification				The minimum payment required at this time.
missionCoveragePrioritiesPolicy	pending:	publishingPrinciples			NewsMediaOrganization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a statement on coverage priorities, including any public agenda or stance on issues."
mobileUrl	pending:				Offer, Product	Text				"The <a class=""localLink"" href=""/mobileUrl"">mobileUrl</a> property is provided for specific situations in which data consumers need to determine whether one of several provided URLs is a dedicated 'mobile site'.<br/><br/>

To discourage over-use, and reflecting intial usecases, the property is expected only on <a class=""localLink"" href=""/Product"">Product</a> and <a class=""localLink"" href=""/Offer"">Offer</a>, rather than <a class=""localLink"" href=""/Thing"">Thing</a>. The general trend in web technology is towards <a href=""https://en.wikipedia.org/wiki/Responsive_web_design"">responsive design</a> in which content can be flexibly adapted to a wide range of browsing environments. Pages and sites referenced with the long-established <a class=""localLink"" href=""/url"">url</a> property should ideally also be usable on a wide variety of devices, including mobile phones. In most cases, it would be pointless and counter productive to attempt to update all <a class=""localLink"" href=""/url"">url</a> markup to use <a class=""localLink"" href=""/mobileUrl"">mobileUrl</a> for more mobile-oriented pages. The property is intended for the case when items (primarily <a class=""localLink"" href=""/Product"">Product</a> and <a class=""localLink"" href=""/Offer"">Offer</a>) have extra URLs hosted on an additional ""mobile site"" alongside the main one. It should not be taken as an endorsement of this publication style."
model					Product	ProductModel, Text				The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.
modelDate	https://auto.schema.org				Vehicle	Date				The release date of a vehicle model (often used to differentiate versions of the same make and model).
modifiedTime					Reservation	DateTime				The date and time the reservation was modified.
molecularFormula	pending:				MolecularEntity	Text				The empirical formula is the simplest whole number ratio of all the atoms in a molecule.
molecularWeight	pending:				MolecularEntity	QuantitativeValue, Text				"This is the molecular weight of the entity being described, not of the parent. Units should be included in the form '&lt;Number&gt; &lt;unit&gt;', for example '12 amu' or as '&lt;QuantitativeValue&gt;."
monoisotopicMolecularWeight	pending:				MolecularEntity	QuantitativeValue, Text				"The monoisotopic mass is the sum of the masses of the atoms in a molecule using the unbound, ground-state, rest mass of the principal (most abundant) isotope for each element instead of the isotopic average mass. Please include the units in the form '&lt;Number&gt; &lt;unit&gt;', for example '770.230488 g/mol' or as '&lt;QuantitativeValue&gt;."
monthlyMinimumRepaymentAmount	pending:				PaymentCard	MonetaryAmount, Number				The minimum payment is the lowest amount of money that one is required to pay on a credit card statement each month.
monthsOfExperience	pending:				OccupationalExperienceRequirements	Number				Indicates the minimal number of months of experience required for a position.
mpn					Demand, Offer, Product	Text				The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.
multipleValues					PropertyValueSpecification	Boolean				Whether multiple values are allowed for the property.  Default is false.
muscleAction					Muscle	Text				The movement the muscle generates.
musicArrangement					MusicComposition	MusicComposition				An arrangement derived from the composition.
musicBy					Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	MusicGroup, Person				The composer of the soundtrack.
musicCompositionForm					MusicComposition	Text				The type of composition (e.g. overture, sonata, symphony, etc.).
musicGroupMember					MusicGroup	Person			member	"A member of a music group&#x2014;for example, John, Paul, George, or Ringo."
musicReleaseFormat					MusicRelease	MusicReleaseFormatType				Format of this release (the type of recording media used, i.e. compact disc, digital media, LP, etc.).
musicalKey					MusicComposition	Text				The key, mode, or scale this composition uses.
naics					Organization, Person	Text				The North American Industry Classification System (NAICS) code for a particular organization or business person.
name		http://www.w3.org/2000/01/rdf-schema#label	dc:title		Thing	Text				The name of the item.
namedPosition					Role	Text, URL			roleName	A position played, performed or filled by a person or organization, as part of an organization. For example, an athlete in a SportsTeam might play in the position named 'Quarterback'.
nationality					Person	Country				Nationality of the person.
naturalProgression					MedicalCondition	Text				The expected progression of the condition if it is not treated and allowed to progress naturally.
negativeNotes	pending:				Product, Review	ItemList, ListItem, Text, WebContent				"Provides negative considerations regarding something, most typically in pro/con lists for reviews (alongside <a class=""localLink"" href=""/positiveNotes"">positiveNotes</a>). For symmetry <br/><br/>

In the case of a <a class=""localLink"" href=""/Review"">Review</a>, the property describes the <a class=""localLink"" href=""/itemReviewed"">itemReviewed</a> from the perspective of the review; in the case of a <a class=""localLink"" href=""/Product"">Product</a>, the product itself is being described. Since product descriptions 
tend to emphasise positive claims, it may be relatively unusual to find <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> used in this way. Nevertheless for the sake of symmetry, <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> can be used on <a class=""localLink"" href=""/Product"">Product</a>.<br/><br/>

The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most negative is at the beginning of the list)."
nerve					Muscle	Nerve				The underlying innervation associated with the muscle.
nerveMotor					Nerve	Muscle				The neurological pathway extension that involves muscle control.
netWorth					Person	MonetaryAmount, PriceSpecification				The total financial value of the person as calculated by subtracting assets from liabilities.
newsUpdatesAndGuidelines	pending:				SpecialAnnouncement	URL, WebContent				"Indicates a page with news updates and guidelines. This could often be (but is not required to be) the main page containing <a class=""localLink"" href=""/SpecialAnnouncement"">SpecialAnnouncement</a> markup on a site."
nextItem					ListItem	ListItem				A link to the ListItem that follows the current one.
noBylinesPolicy	pending:	publishingPrinciples			NewsMediaOrganization	CreativeWork, URL				"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other news-related <a class=""localLink"" href=""/Organization"">Organization</a>, a statement explaining when authors of articles are not named in bylines."
nonEqual					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is not equal to the object.
nonProprietaryName					DietarySupplement, Drug	Text				The generic name of this drug or supplement.
nonprofitStatus	pending:				Organization	NonprofitType				nonprofitStatus indicates the legal status of a non-profit organization in its primary place of business.
normalRange					MedicalTest	MedicalEnumeration, Text				Range of acceptable values for a typical patient, when applicable.
nsn	pending:	identifier			Product	Text				"Indicates the <a href=""https://en.wikipedia.org/wiki/NATO_Stock_Number"">NATO stock number</a> (nsn) of a <a class=""localLink"" href=""/Product"">Product</a>."
numAdults					LodgingReservation	Integer, QuantitativeValue				The number of adults staying in the unit.
numChildren					LodgingReservation	Integer, QuantitativeValue				The number of children staying in the unit.
numConstraints	pending:				StatisticalPopulation	Integer				"Indicates the number of constraints (not counting <a class=""localLink"" href=""/populationType"">populationType</a>) defined for a particular <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>. This helps applications understand if they have access to a sufficiently complete description of a <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>."
numTracks					MusicPlaylist	Integer				The number of tracks in this album or playlist.
numberOfAccommodationUnits	pending:				ApartmentComplex, FloorPlan	QuantitativeValue				"Indicates the total (available plus unavailable) number of accommodation units in an <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>, or the number of accommodation units for a specific <a class=""localLink"" href=""/FloorPlan"">FloorPlan</a> (within its specific <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>). See also <a class=""localLink"" href=""/numberOfAvailableAccommodationUnits"">numberOfAvailableAccommodationUnits</a>."
numberOfAirbags					Vehicle	Number, Text				The number or type of airbags in the vehicle.
numberOfAvailableAccommodationUnits	pending:				ApartmentComplex, FloorPlan	QuantitativeValue				"Indicates the number of available accommodation units in an <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>, or the number of accommodation units for a specific <a class=""localLink"" href=""/FloorPlan"">FloorPlan</a> (within its specific <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a>). See also <a class=""localLink"" href=""/numberOfAccommodationUnits"">numberOfAccommodationUnits</a>."
numberOfAxles					Vehicle	Number, QuantitativeValue				"The number of axles.<br/><br/>

Typical unit code(s): C62"
numberOfBathroomsTotal	pending:				Accommodation, FloorPlan	Integer				"The total integer number of bathrooms in some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, following real estate conventions as <a href=""https://ddwiki.reso.org/display/DDW17/BathroomsTotalInteger+Field"">documented in RESO</a>: ""The simple sum of the number of bathrooms. For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3."". See also <a class=""localLink"" href=""/numberOfRooms"">numberOfRooms</a>."
numberOfBedrooms	pending:				Accommodation, ApartmentComplex, FloorPlan	Number, QuantitativeValue				"The total integer number of bedrooms in a some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>, <a class=""localLink"" href=""/ApartmentComplex"">ApartmentComplex</a> or <a class=""localLink"" href=""/FloorPlan"">FloorPlan</a>."
numberOfBeds					BedDetails	Number				The quantity of the given bed type available in the HotelRoom, Suite, House, or Apartment.
numberOfCredits	pending:				Course, EducationalOccupationalProgram	Integer, StructuredValue				The number of credits or units awarded by a Course or required to complete an EducationalOccupationalProgram.
numberOfDoors					Vehicle	Number, QuantitativeValue				"The number of doors.<br/><br/>

Typical unit code(s): C62"
numberOfEmployees					BusinessAudience, Organization	QuantitativeValue				The number of employees in an organization, e.g. business.
numberOfEpisodes					CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	Integer				The number of episodes in this season or series.
numberOfForwardGears					Vehicle	Number, QuantitativeValue				"The total number of forward gears available for the transmission system of the vehicle.<br/><br/>

Typical unit code(s): C62"
numberOfFullBathrooms	pending:				Accommodation, FloorPlan	Number				"Number of full bathrooms - The total number of full and ¾ bathrooms in an <a class=""localLink"" href=""/Accommodation"">Accommodation</a>. This corresponds to the <a href=""https://ddwiki.reso.org/display/DDW17/BathroomsFull+Field"">BathroomsFull field in RESO</a>."
numberOfItems					ItemList	Integer				"The number of items in an ItemList. Note that some descriptions might not fully describe all items in a list (e.g., multi-page pagination); in such cases, the numberOfItems would be for the entire list."
numberOfLoanPayments	pending:				RepaymentSpecification	Number				The number of payments contractually required at origination to repay the loan. For monthly paying loans this is the number of months from the contractual first payment date to the maturity date.
numberOfPages					Book	Integer				The number of pages in the book.
numberOfPartialBathrooms	pending:				Accommodation, FloorPlan	Number				"Number of partial bathrooms - The total number of half and ¼ bathrooms in an <a class=""localLink"" href=""/Accommodation"">Accommodation</a>. This corresponds to the <a href=""https://ddwiki.reso.org/display/DDW17/BathroomsPartial+Field"">BathroomsPartial field in RESO</a>."
numberOfPlayers					Game, VideoGameSeries	QuantitativeValue				Indicate how many people can play this game (minimum, maximum, or range).
numberOfPreviousOwners					Vehicle	Number, QuantitativeValue				"The number of owners of the vehicle, including the current one.<br/><br/>

Typical unit code(s): C62"
numberOfRooms					Accommodation, Apartment, FloorPlan, House, LodgingBusiness, SingleFamilyResidence, Suite	Number, QuantitativeValue				"The number of rooms (excluding bathrooms and closets) of the accommodation or lodging business.
Typical unit code(s): ROM for room or C62 for no unit. The type of room can be put in the unitText property of the QuantitativeValue."
numberOfSeasons					RadioSeries, TVSeries, VideoGameSeries	Integer				The number of seasons in this series.
numberedPosition					OrganizationRole	Number				A number associated with a role in an organization, for example, the number on an athlete's jersey.
nutrition					MenuItem, Recipe	NutritionInformation				Nutrition information about the recipe or menu item.
object				actionOption, candidate, collection, followee, option, question, replacee, replacer, targetCollection	Action	Thing				The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). E.g. John read <em>a book</em>.
observationDate	pending:				Observation	DateTime				"The observationDate of an <a class=""localLink"" href=""/Observation"">Observation</a>."
observedNode	pending:				Observation	StatisticalPopulation				"The observedNode of an <a class=""localLink"" href=""/Observation"">Observation</a>, often a <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>."
occupancy					Apartment, HotelRoom, SingleFamilyResidence, Suite	QuantitativeValue				"The allowed total occupancy for the accommodation in persons (including infants etc). For individual accommodations, this is not necessarily the legal maximum but defines the permitted usage as per the contractual agreement (e.g. a double room used by a single person).
Typical unit code(s): C62 for person"
occupationLocation					Occupation	AdministrativeArea				The region/country for which this occupational description is appropriate. Note that educational requirements and qualifications can vary between jurisdictions.
occupationalCategory	pending:				EducationalOccupationalProgram, JobPosting, Occupation, WorkBasedProgram	CategoryCode, Text				"A category describing the job, preferably using a term from a taxonomy such as <a href=""http://www.onetcenter.org/taxonomy.html"">BLS O*NET-SOC</a>, <a href=""https://www.ilo.org/public/english/bureau/stat/isco/isco08/"">ISCO-08</a> or similar, with the property repeated for each applicable value. Ideally the taxonomy should be identified, and both the textual label and formal code for the category should be provided.<br/><br/>

Note: for historical reasons, any textual label and formal code provided as a literal may be assumed to be from O*NET-SOC."
occupationalCredentialAwarded	pending:				Course, EducationalOccupationalProgram	EducationalOccupationalCredential, Text, URL				A description of the qualification, award, certificate, diploma or other occupational credential awarded as a consequence of successful completion of this course or program.
offerCount					AggregateOffer	Integer				The number of offers for the product.
offeredBy					Offer	Organization, Person	makesOffer			A pointer to the organization or person making the offer.
offers					AggregateOffer, CreativeWork, EducationalOccupationalProgram, Event, MenuItem, Product, Service, Trip	Demand, Offer	itemOffered			"An offer to provide this item&#x2014;for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event. Use <a class=""localLink"" href=""/businessFunction"">businessFunction</a> to indicate the kind of transaction offered, i.e. sell, lease, etc. This property can also be used to describe a <a class=""localLink"" href=""/Demand"">Demand</a>. While this property is listed as expected on a number of common types, it can be used in others. In that case, using a second type, such as Product or a subtype of Product, can clarify the nature of the offer."
offersPrescriptionByMail	pending:				HealthPlanFormulary	Boolean				Whether prescriptions can be delivered by mail.
