label-dash	rangeIncludes	domainIncludes	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
availability	ItemAvailability	"Demand, Offer"	availability	availability								"The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc."
access-mode-sufficient	ItemList	CreativeWork	access_mode_sufficient	accessModeSufficient								"A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Values should be drawn from the <a href=""https://www.w3.org/2021/a11y-discov-vocab/latest/#accessModeSufficient-vocabulary"">approved vocabulary</a>."
negative-notes	"ItemList, ListItem, Text, WebContent"	"Product, Review"	negative_notes	negativeNotes	pending:							"Provides negative considerations regarding something, most typically in pro/con lists for reviews (alongside <a class=""localLink"" href=""/positiveNotes"">positiveNotes</a>). For symmetry <br/><br/>

In the case of a <a class=""localLink"" href=""/Review"">Review</a>, the property describes the <a class=""localLink"" href=""/itemReviewed"">itemReviewed</a> from the perspective of the review; in the case of a <a class=""localLink"" href=""/Product"">Product</a>, the product itself is being described. Since product descriptions 
tend to emphasise positive claims, it may be relatively unusual to find <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> used in this way. Nevertheless for the sake of symmetry, <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> can be used on <a class=""localLink"" href=""/Product"">Product</a>.<br/><br/>

The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most negative is at the beginning of the list)."
positive-notes	"ItemList, ListItem, Text, WebContent"	"Product, Review"	positive_notes	positiveNotes	pending:							"Provides positive considerations regarding something, for example product highlights or (alongside <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a>) pro/con lists for reviews.<br/><br/>

In the case of a <a class=""localLink"" href=""/Review"">Review</a>, the property describes the <a class=""localLink"" href=""/itemReviewed"">itemReviewed</a> from the perspective of the review; in the case of a <a class=""localLink"" href=""/Product"">Product</a>, the product itself is being described.<br/><br/>

The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most positive is at the beginning of the list)."
track	"ItemList, MusicRecording"	"MusicGroup, MusicPlaylist"	track	track						tracks		"A music recording (track)&#x2014;usually a single song. If an ItemList is given, the list should contain items of type MusicRecording."
itinerary	"ItemList, Place"	Trip	itinerary	itinerary	pending:							"Destination(s) ( <a class=""localLink"" href=""/Place"">Place</a> ) that make up a trip. For a trip where destination order is important use <a class=""localLink"" href=""/ItemList"">ItemList</a> to specify that order (see examples)."
item-list-order	"ItemListOrderType, Text"	ItemList	item_list_order	itemListOrder								"Type of ordering (e.g. Ascending, Descending, Unordered)."
language	Language	"CommunicateAction, WriteAction"	language	language		instrument					inLanguage	A sub property of instrument. The language used on this action.
available-language	"Language, Text"	"ContactPoint, LodgingBusiness, ServiceChannel, TouristAttraction"	available_language	availableLanguage								"A language someone may use with or at the item, service or place. Please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>. See also <a class=""localLink"" href=""/inLanguage"">inLanguage</a>."
in-language	"Language, Text"	"BroadcastService, CommunicateAction, CreativeWork, Event, LinkRole, PronounceableText, WriteAction"	in_language	inLanguage						language		"The language of the content or performance or used in an action. Please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>. See also <a class=""localLink"" href=""/availableLanguage"">availableLanguage</a>."
knows-language	"Language, Text"	"Organization, Person"	knows_language	knowsLanguage	pending:							"Of a <a class=""localLink"" href=""/Person"">Person</a>, and less typically of an <a class=""localLink"" href=""/Organization"">Organization</a>, to indicate a known language. We do not distinguish skill levels or reading/writing/speaking/signing here. Use language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>."
subtitle-language	"Language, Text"	"BroadcastEvent, Movie, ScreeningEvent, TVEpisode"	subtitle_language	subtitleLanguage	pending:							"Languages in which subtitles/captions are available, in <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard format</a>."
legislation-legal-force	LegalForceStatus	Legislation	legislation_legal_force	legislationLegalForce	pending:		http://data.europa.eu/eli/ontology#in_force					"Whether the legislation is currently in force, not in force, or partially in force."
legislation-legal-value	LegalValueLevel	LegislationObject	legislation_legal_value	legislationLegalValue	pending:		http://data.europa.eu/eli/ontology#legal_value					"The legal value of this legislation file. The same legislation can be written in multiple files with different legal values. Typically a digitally signed PDF have a ""stronger"" legal value than the HTML file of the same act."
legislation-applies	Legislation	Legislation	legislation_applies	legislationApplies	pending:		http://data.europa.eu/eli/ontology#implements	legislationTransposes				"Indicates that this legislation (or part of a legislation) somehow transfers another legislation in a different legislative context. This is an informative link, and it has no legal value. For legally-binding links of transposition, use the <a href=""/legislationTransposes"">legislationTransposes</a> property. For example an informative consolidated law of a European Union's member state ""applies"" the consolidated version of the European Directive implemented in it."
legislation-changes	Legislation	Legislation	legislation_changes	legislationChanges	pending:		http://data.europa.eu/eli/ontology#changes					"Another legislation that this legislation changes. This encompasses the notions of amendment, replacement, correction, repeal, or other types of change. This may be a direct change (textual or non-textual amendment) or a consequential or indirect change. The property is to be used to express the existence of a change relationship between two acts rather than the existence of a consolidated version of the text that shows the result of the change. For consolidation relationships, use the <a href=""/legislationConsolidates"">legislationConsolidates</a> property."
legislation-consolidates	Legislation	Legislation	legislation_consolidates	legislationConsolidates	pending:		http://data.europa.eu/eli/ontology#consolidates					"Indicates another legislation taken into account in this consolidated legislation (which is usually the product of an editorial process that revises the legislation). This property should be used multiple times to refer to both the original version or the previous consolidated version, and to the legislations making the change."
legislation-transposes	Legislation	Legislation	legislation_transposes	legislationTransposes	pending:	legislationApplies	http://data.europa.eu/eli/ontology#transposes					"Indicates that this legislation (or part of legislation) fulfills the objectives set by another legislation, by passing appropriate implementation measures. Typically, some legislations of European Union's member states or regions transpose European Directives. This indicates a legally binding link between the 2 legislations."
next-item	ListItem	ListItem	next_item	nextItem								A link to the ListItem that follows the current one.
previous-item	ListItem	ListItem	previous_item	previousItem								A link to the ListItem that precedes the current one.
item-list-element	"ListItem, Text, Thing"	ItemList	item_list_element	itemListElement								"For itemListElement values, you can use simple strings (e.g. ""Peter"", ""Paul"", ""Mary""), existing entities, or use ListItem.<br/><br/>

Text values are best if the elements in the list are plain strings. Existing entities are best for a simple, unordered list of existing things in your data. ListItem is used with ordered lists when you want to provide additional context about the element in that list or when the same item might be in different places in different lists.<br/><br/>

Note: The order of elements in your mark-up is not sufficient for indicating the order or elements.  Use ListItem with a 'position' property in such cases."
accepted-payment-method	"LoanOrCredit, PaymentMethod"	"Demand, Offer"	accepted_payment_method	acceptedPaymentMethod								The payment method(s) accepted by seller for this offer.
amenity-feature	LocationFeatureSpecification	"Accommodation, FloorPlan, LodgingBusiness, Place"	amenity_feature	amenityFeature								An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.
has-map	"Map, URL"	Place	has_map	hasMap						"map, maps"		A URL to a map of the place.
map-type	MapCategoryType	Map	map_type	mapType								"Indicates the kind of Map, from the MapCategoryType Enumeration."
maximum-intake	MaximumDoseSchedule	"DietarySupplement, Drug, DrugStrength, Substance"	maximum_intake	maximumIntake								Recommended intake of this supplement for a given population as defined by a specific recommending authority.
media-authenticity-category	MediaManipulationRatingEnumeration	MediaReview	media_authenticity_category	mediaAuthenticityCategory	pending:							Indicates a MediaManipulationRatingEnumeration classification of a media object (in the context of how it was published or shared).
associated-media	MediaObject	"CreativeWork, HyperToc, HyperTocEntry"	associated_media	associatedMedia								A media object that encodes this CreativeWork. This property is a synonym for encoding.
encoding	MediaObject	CreativeWork	encoding	encoding					encodesCreativeWork	encodings		A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.
encodings	MediaObject	CreativeWork	encodings	encodings							encoding	A media object that encodes this CreativeWork.
media-item-appearance	MediaObject	MediaReviewItem	media_item_appearance	mediaItemAppearance	pending:							"In the context of a <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, indicates specific media item(s) that are grouped using a <a class=""localLink"" href=""/MediaReviewItem"">MediaReviewItem</a>."
caption	"MediaObject, Text"	"AudioObject, ImageObject, VideoObject"	caption	caption				embeddedTextCaption				"The caption for this object. For downloadable machine formats (closed caption, subtitles etc.) use MediaObject and indicate the <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a>."
after-media	"MediaObject, URL"	HowToDirection	after_media	afterMedia								A media object representing the circumstances after performing this direction.
before-media	"MediaObject, URL"	HowToDirection	before_media	beforeMedia								A media object representing the circumstances before performing this direction.
during-media	"MediaObject, URL"	HowToDirection	during_media	duringMedia								A media object representing the circumstances while performing this direction.
original-media-link	"MediaObject, URL, WebPage"	MediaReview	original_media_link	originalMediaLink	pending:							"Link to the page containing an original version of the content, or directly to an online copy of the original <a class=""localLink"" href=""/MediaObject"">MediaObject</a> content, e.g. video file."
medical-audience	"MedicalAudience, MedicalAudienceType"	MedicalWebPage	medical_audience	medicalAudience								Medical audience for page.
code	MedicalCode	MedicalEntity	code	code								"A medical code for the entity, taken from a controlled vocabulary or ontology such as ICD-9, DiseasesDB, MeSH, SNOMED-CT, RxNorm, etc."
diagnosis	MedicalCondition	"DDxElement, Patient"	diagnosis	diagnosis								One or more alternative conditions considered in the differential diagnosis process as output of a diagnosis process.
health-condition	MedicalCondition	"MedicalStudy, Patient, PeopleAudience"	health_condition	healthCondition								"Specifying the health condition(s) of a patient, medical study, or other target audience."
related-condition	MedicalCondition	"AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy"	related_condition	relatedCondition								A medical condition associated with this anatomy.
used-to-diagnose	MedicalCondition	MedicalTest	used_to_diagnose	usedToDiagnose								A condition the test is used to diagnose.
associated-disease	"MedicalCondition, PropertyValue, URL"	BioChemEntity	associated_disease	associatedDisease	pending:							"Disease associated to this BioChemEntity. Such disease can be a MedicalCondition or a URL. If you want to add an evidence supporting the association, please use PropertyValue."
stage	MedicalConditionStage	MedicalCondition	stage	stage								"The stage of the condition, if applicable."
contraindication	"MedicalContraindication, Text"	"MedicalDevice, MedicalTherapy"	contraindication	contraindication								A contraindication for this therapy.
uses-device	MedicalDevice	MedicalTest	uses_device	usesDevice								Device used to perform the test.
adverse-outcome	MedicalEntity	"MedicalDevice, TherapeuticProcedure"	adverse_outcome	adverseOutcome								"A possible complication and/or side effect of this therapy. If it is known that an adverse outcome is serious (resulting in death, disability, or permanent damage; requiring hospitalization; or otherwise life-threatening or requiring immediate medical attention), tag it as a seriousAdverseOutcome instead."
cause-of	MedicalEntity	MedicalCause	cause_of	causeOf								"The condition, complication, symptom, sign, etc. caused."
estimates-risk-of	MedicalEntity	MedicalRiskEstimator	estimates_risk_of	estimatesRiskOf								"The condition, complication, or symptom whose risk is being estimated."
guideline-subject	MedicalEntity	MedicalGuideline	guideline_subject	guidelineSubject								"The medical conditions, treatments, etc. that are the subject of the guideline."
increases-risk-of	MedicalEntity	MedicalRiskFactor	increases_risk_of	increasesRiskOf								"The condition, complication, etc. influenced by this factor."
serious-adverse-outcome	MedicalEntity	"MedicalDevice, MedicalTherapy"	serious_adverse_outcome	seriousAdverseOutcome								"A possible serious complication and/or serious side effect of this therapy. Serious adverse outcomes include those that are life-threatening; result in death, disability, or permanent damage; require hospitalization or prolong existing hospitalization; cause congenital anomalies or birth defects; or jeopardize the patient and may require medical or surgical intervention to prevent one of the outcomes in this definition."
study-subject	MedicalEntity	MedicalStudy	study_subject	studySubject								"A subject of the study, i.e. one of the medical conditions, therapies, devices, drugs, etc. investigated by the study."
functional-class	"MedicalEntity, Text"	Joint	functional_class	functionalClass								The degree of mobility the joint allows.
preparation	"MedicalEntity, Text"	MedicalProcedure	preparation	preparation								Typical preparation that a patient must undergo before having the procedure performed.
normal-range	"MedicalEnumeration, Text"	MedicalTest	normal_range	normalRange								"Range of acceptable values for a typical patient, when applicable."
evidence-level	MedicalEvidenceLevel	MedicalGuideline	evidence_level	evidenceLevel								Strength of evidence of the data used to formulate the guideline (enumerated).
guideline	MedicalGuideline	MedicalEntity	guideline	guideline								A medical guideline related to this entity.
imaging-technique	MedicalImagingTechnique	ImagingTest	imaging_technique	imagingTechnique								Imaging technique used.
study-design	MedicalObservationalStudyDesign	MedicalObservationalStudy	study_design	studyDesign								Specifics about the observational study design (enumerated).
available-service	"MedicalProcedure, MedicalTest, MedicalTherapy"	"Hospital, MedicalClinic, Physician"	available_service	availableService								A medical service available from this provider.
procedure-type	MedicalProcedureType	MedicalProcedure	procedure_type	procedureType								"The type of procedure, for example Surgical, Noninvasive, or Percutaneous."
included-risk-factor	MedicalRiskFactor	MedicalRiskEstimator	included_risk_factor	includedRiskFactor								"A modifiable or non-modifiable risk factor included in the calculation, e.g. age, coexisting condition."
risk-factor	MedicalRiskFactor	MedicalCondition	risk_factor	riskFactor								"A modifiable or non-modifiable factor that increases the risk of a patient contracting this condition, e.g. age,  coexisting condition."
sign-detected	MedicalSign	MedicalTest	sign_detected	signDetected								A sign detected by the test.
distinguishing-sign	MedicalSignOrSymptom	DDxElement	distinguishing_sign	distinguishingSign								One of a set of signs and symptoms that can be used to distinguish this diagnosis from others in the differential diagnosis.
sign-or-symptom	MedicalSignOrSymptom	MedicalCondition	sign_or_symptom	signOrSymptom								A sign or symptom of this condition. Signs are objective or physically observable manifestations of the medical condition while symptoms are the subjective experience of the medical condition.
medical-specialty	MedicalSpecialty	"Hospital, MedicalClinic, MedicalOrganization, Physician"	medical_specialty	medicalSpecialty								A medical specialty of the provider.
relevant-specialty	MedicalSpecialty	MedicalEntity	relevant_specialty	relevantSpecialty								"If applicable, a medical specialty in which this entity is relevant."
study	MedicalStudy	MedicalEntity	study	study								A medical study or trial related to this entity.
available-test	MedicalTest	DiagnosticLab	available_test	availableTest								A diagnostic test or procedure offered by this lab.
identifying-test	MedicalTest	MedicalSign	identifying_test	identifyingTest								A diagnostic test that can identify this sign.
sub-test	MedicalTest	MedicalTestPanel	sub_test	subTest								A component test of the panel.
typical-test	MedicalTest	MedicalCondition	typical_test	typicalTest								A medical test typically performed given this condition.
duplicate-therapy	MedicalTherapy	MedicalTherapy	duplicate_therapy	duplicateTherapy								A therapy that duplicates or overlaps this one.
possible-treatment	MedicalTherapy	"MedicalCondition, MedicalSignOrSymptom"	possible_treatment	possibleTreatment								"A possible treatment to address this condition, sign or symptom."
primary-prevention	MedicalTherapy	MedicalCondition	primary_prevention	primaryPrevention								"A preventative therapy used to prevent an initial occurrence of the medical condition, such as vaccination."
related-therapy	MedicalTherapy	"AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy"	related_therapy	relatedTherapy								A medical therapy related to this anatomy.
secondary-prevention	MedicalTherapy	MedicalCondition	secondary_prevention	secondaryPrevention								A preventative therapy used to prevent reoccurrence of the medical condition after an initial episode of the condition.
trial-design	MedicalTrialDesign	MedicalTrial	trial_design	trialDesign								Specifics about the trial design (enumerated).
medicine-system	MedicineSystem	MedicalEntity	medicine_system	medicineSystem								"The system of medicine that includes this MedicalEntity, for example 'evidence-based', 'homeopathic', 'chiropractic', etc."
has-menu	"Menu, Text, URL"	FoodEstablishment	has_menu	hasMenu						menu		"Either the actual menu as a structured representation, as text, or a URL of the menu."
menu	"Menu, Text, URL"	FoodEstablishment	menu	menu							hasMenu	"Either the actual menu as a structured representation, as text, or a URL of the menu."
has-menu-item	MenuItem	"Menu, MenuSection"	has_menu_item	hasMenuItem								A food or drink item contained in a menu or menu section.
menu-add-on	"MenuItem, MenuSection"	MenuItem	menu_add_on	menuAddOn								Additional menu item(s) such as a side dish of salad or side order of fries that can be added to this menu item. Additionally it can be a menu section containing allowed add-on menu items for this menu item.
has-menu-section	MenuSection	"Menu, MenuSection"	has_menu_section	hasMenuSection								"A subgrouping of the menu (by dishes, course, serving time period, etc.)."
return-policy-category	MerchantReturnEnumeration	"MerchantReturnPolicy, MerchantReturnPolicySeasonalOverride"	return_policy_category	returnPolicyCategory	pending:							Specifies an applicable return policy (from an enumeration).
has-merchant-return-policy	MerchantReturnPolicy	"Offer, Organization, Product"	has_merchant_return_policy	hasMerchantReturnPolicy	pending:					hasProductReturnPolicy		Specifies a MerchantReturnPolicy that may be applicable.
return-policy-seasonal-override	MerchantReturnPolicySeasonalOverride	MerchantReturnPolicy	return_policy_seasonal_override	returnPolicySeasonalOverride	pending:							Seasonal override of a return policy.
work-presented	Movie	ScreeningEvent	work_presented	workPresented		workFeatured						The movie presented during this event.
antagonist	Muscle	Muscle	antagonist	antagonist								The muscle whose action counteracts the specified muscle.
nerve-motor	Muscle	Nerve	nerve_motor	nerveMotor								The neurological pathway extension that involves muscle control.
album	MusicAlbum	MusicGroup	album	album						albums		A music album.
albums	MusicAlbum	MusicGroup	albums	albums							album	A collection of music albums.
in-album	MusicAlbum	MusicRecording	in_album	inAlbum								The album to which this recording belongs.
release-of	MusicAlbum	MusicRelease	release_of	releaseOf					albumRelease			The album this is a release of.
album-production-type	MusicAlbumProductionType	MusicAlbum	album_production_type	albumProductionType								"Classification of the album by its type of content: soundtrack, live album, studio album, etc."
album-release-type	MusicAlbumReleaseType	MusicAlbum	album_release_type	albumReleaseType								"The kind of release which this album is: single, EP or album."
included-composition	MusicComposition	MusicComposition	included_composition	includedComposition								Smaller compositions included in this work (e.g. a movement in a symphony).
music-arrangement	MusicComposition	MusicComposition	music_arrangement	musicArrangement								An arrangement derived from the composition.
recording-of	MusicComposition	MusicRecording	recording_of	recordingOf					recordedAs			The composition this track is a recording of.
by-artist	"MusicGroup, Person"	"MusicAlbum, MusicRecording"	by_artist	byArtist								The artist that performed this album or recording.
music-by	"MusicGroup, Person"	"Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject"	music_by	musicBy								The composer of the soundtrack.
in-playlist	MusicPlaylist	MusicRecording	in_playlist	inPlaylist								The playlist to which this recording belongs.
recorded-as	MusicRecording	MusicComposition	recorded_as	recordedAs					recordingOf			An audio recording of the work.
tracks	MusicRecording	"MusicGroup, MusicPlaylist"	tracks	tracks							track	A music recording (track)&#x2014;usually a single song.
album-release	MusicRelease	MusicAlbum	album_release	albumRelease					releaseOf			A release of this album.
music-release-format	MusicReleaseFormatType	MusicRelease	music_release_format	musicReleaseFormat								"Format of this release (the type of recording media used, i.e. compact disc, digital media, LP, etc.)."
nerve	Nerve	Muscle	nerve	nerve								The underlying innervation associated with the muscle.
associated-article	NewsArticle	MediaObject	associated_article	associatedArticle								A NewsArticle associated with the Media Object.
nonprofit-status	NonprofitType	Organization	nonprofit_status	nonprofitStatus	pending:							nonprofitStatus indicates the legal status of a non-profit organization in its primary place of business.
nutrition	NutritionInformation	"MenuItem, Recipe"	nutrition	nutrition								Nutrition information about the recipe or menu item.
has-occupation	Occupation	Person	has_occupation	hasOccupation								"The Person's occupation. For past professions, use Role for expressing dates."
relevant-occupation	Occupation	JobPosting	relevant_occupation	relevantOccupation								The Occupation for the JobPosting.
experience-requirements	"OccupationalExperienceRequirements, Text"	"JobPosting, Occupation"	experience_requirements	experienceRequirements								Description of skills and experience needed for the position or Occupation.
accepted-offer	Offer	Order	accepted_offer	acceptedOffer								"The offer(s) -- e.g., product, quantity and price combinations -- included in the order."
add-on	Offer	Offer	add_on	addOn								An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).
expects-acceptance-of	Offer	"ActionAccessSpecification, ConsumeAction, MediaSubscription"	expects_acceptance_of	expectsAcceptanceOf								"An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it."
makes-offer	Offer	"Organization, Person"	makes_offer	makesOffer					offeredBy			A pointer to products or services offered by the organization or person.
has-offer-catalog	OfferCatalog	"Organization, Person, Service"	has_offer_catalog	hasOfferCatalog								"Indicates an OfferCatalog listing for this Organization, Person, or Service."
item-condition	OfferItemCondition	"Demand, MerchantReturnPolicy, Offer, Product"	item_condition	itemCondition								"A predefined value from OfferItemCondition specifying the condition of the product or service, or the products or services included in the offer. Also used for product return policies to specify the condition of products accepted for returns."
shipping-details	OfferShippingDetails	Offer	shipping_details	shippingDetails	pending:							"Indicates information about the shipping policies and options associated with an <a class=""localLink"" href=""/Offer"">Offer</a>."
business-days	OpeningHoursSpecification	ShippingDeliveryTime	business_days	businessDays	pending:							"Days of the week when the merchant typically operates, indicated via opening hours markup."
hours-available	OpeningHoursSpecification	"ContactPoint, LocationFeatureSpecification, Service"	hours_available	hoursAvailable								The hours during which this service or contact is available.
opening-hours-specification	OpeningHoursSpecification	Place	opening_hours_specification	openingHoursSpecification								The opening hours of a certain place.
special-opening-hours-specification	OpeningHoursSpecification	Place	special_opening_hours_specification	specialOpeningHoursSpecification								"The special opening hours of a certain place.<br/><br/>

Use this to explicitly override general opening hours brought in scope by <a class=""localLink"" href=""/openingHoursSpecification"">openingHoursSpecification</a> or <a class=""localLink"" href=""/openingHours"">openingHours</a>."
part-of-order	Order	ParcelDelivery	part_of_order	partOfOrder								The overall order the items in this delivery were included in.
references-order	Order	Invoice	references_order	referencesOrder								The Order(s) related to this Invoice. One or more Orders may be combined into a single Invoice.
ordered-item	"OrderItem, Product, Service"	"Order, OrderItem"	ordered_item	orderedItem								The item ordered.
order-item-status	OrderStatus	OrderItem	order_item_status	orderItemStatus								The current status of the order item.
order-status	OrderStatus	Order	order_status	orderStatus								The current status of the order.
affiliation	Organization	Person	affiliation	affiliation		memberOf						"An organization that this person is affiliated with. For example, a school/university, a club, or a team."
authenticator	Organization	MediaSubscription	authenticator	authenticator								"The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media."
branch-of	Organization	LocalBusiness	branch_of	branchOf							parentOrganization	"The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical) <a class=""localLink"" href=""/branch"">branch</a>."
broadcast-affiliate-of	Organization	BroadcastService	broadcast_affiliate_of	broadcastAffiliateOf								The media network(s) whose content is broadcast on this station.
broadcaster	Organization	BroadcastService	broadcaster	broadcaster								The organization owning or operating the broadcast service.
carrier	Organization	"Flight, ParcelDelivery"	carrier	carrier							provider	'carrier' is an out-dated term indicating the 'provider' for parcel delivery and flights.
department	Organization	Organization	department	department								"A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe."
employment-unit	Organization	JobPosting	employment_unit	employmentUnit	pending:							"Indicates the department, unit and/or facility where the employee reports and/or in which the job is to be performed."
hosting-organization	Organization	ProgramMembership	hosting_organization	hostingOrganization								"The organization (airline, travelers' club, etc.) the membership is made with."
issued-by	Organization	"Permit, Ticket"	issued_by	issuedBy								The organization issuing the ticket or permit.
manufacturer	Organization	Product	manufacturer	manufacturer								The manufacturer of the product.
parent-organization	Organization	Organization	parent_organization	parentOrganization					subOrganization	branchOf		"The larger organization that this organization is a <a class=""localLink"" href=""/subOrganization"">subOrganization</a> of, if any."
production-company	Organization	"CreativeWorkSeason, Episode, MediaObject, Movie, MovieSeries, RadioSeries, TVSeries, VideoGameSeries"	production_company	productionCompany								"The production company or studio responsible for the item, e.g. series, video game, episode etc."
publisher-imprint	Organization	CreativeWork	publisher_imprint	publisherImprint	https://bib.schema.org							The publishing division which published the comic.
recognized-by	Organization	EducationalOccupationalCredential	recognized_by	recognizedBy	pending:							"An organization that acknowledges the validity, value or utility of a credential. Note: recognition may include a process of quality assurance or accreditation."
recognizing-authority	Organization	MedicalEntity	recognizing_authority	recognizingAuthority								"If applicable, the organization that officially recognizes this entity as part of its endorsed system of medicine."
record-label	Organization	MusicRelease	record_label	recordLabel			http://purl.org/ontology/mo/label					The label that issued the release.
service-operator	Organization	GovernmentService	service_operator	serviceOperator								"The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor."
source-organization	Organization	CreativeWork	source_organization	sourceOrganization								The Organization on whose behalf the creator was working.
sub-organization	Organization	Organization	sub_organization	subOrganization					parentOrganization			"A relationship between two organizations where the first includes the second, e.g., as a subsidiary. See also: the more specific 'department' property."
works-for	Organization	Person	works_for	worksFor								Organizations that the person works for.
acquired-from	"Organization, Person"	OwnershipInfo	acquired_from	acquiredFrom								The organization or person from which the product was acquired.
agent	"Organization, Person"	Action	agent	agent								The direct performer or driver of the action (animate or inanimate). E.g. <em>John</em> wrote a book.
attendee	"Organization, Person"	Event	attendee	attendee						attendees		A person or organization attending the event.
attendees	"Organization, Person"	Event	attendees	attendees							attendee	A person attending the event.
author	"Organization, Person"	"CreativeWork, Rating"	author	author								The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
booking-agent	"Organization, Person"	Reservation	booking_agent	bookingAgent							broker	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.
broker	"Organization, Person"	"Invoice, Order, Reservation, Service"	broker	broker						bookingAgent		"An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred."
buyer	"Organization, Person"	SellAction	buyer	buyer		participant						A sub property of participant. The participant/person/organization that bought the object.
claim-interpreter	"Organization, Person"	Claim	claim_interpreter	claimInterpreter	pending:							"For a <a class=""localLink"" href=""/Claim"">Claim</a> interpreted from <a class=""localLink"" href=""/MediaObject"">MediaObject</a> content
    sed to indicate a claim contained, implied or refined from the content of a <a class=""localLink"" href=""/MediaObject"">MediaObject</a>."
composer	"Organization, Person"	"Event, MusicComposition"	composer	composer								"The person or organization who wrote a composition, or who is the composer of a work performed at some event."
contributor	"Organization, Person"	"CreativeWork, Event"	contributor	contributor								A secondary contributor to the CreativeWork or Event.
copyright-holder	"Organization, Person"	CreativeWork	copyright_holder	copyrightHolder								The party holding the legal copyright to the CreativeWork.
creator	"Organization, Person"	"CreativeWork, UserComments"	creator	creator				legislationPassedBy				The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
credited-to	"Organization, Person"	MusicRelease	credited_to	creditedTo								"The group the release is credited to if different than the byArtist. For example, Red and Blue is credited to ""Stefani Germanotta Band"", but by Lady Gaga."
customer	"Organization, Person"	"Invoice, Order"	customer	customer								Party placing the order or paying the invoice.
endorsee	"Organization, Person"	EndorseAction	endorsee	endorsee		participant						A sub property of participant. The person/organization being supported.
endorsers	"Organization, Person"	Diet	endorsers	endorsers								People or organizations that endorse the plan.
followee	"Organization, Person"	FollowAction	followee	followee		object						A sub property of object. The person or organization being followed.
funder	"Organization, Person"	"CreativeWork, Event, Grant, MonetaryGrant, Organization, Person"	funder	funder		sponsor						A person or organization that supports (sponsors) something through some kind of financial contribution.
hiring-organization	"Organization, Person"	JobPosting	hiring_organization	hiringOrganization								Organization or Person offering the job position.
landlord	"Organization, Person"	RentAction	landlord	landlord		participant						A sub property of participant. The owner of the real estate property.
legislation-passed-by	"Organization, Person"	Legislation	legislation_passed_by	legislationPassedBy	pending:	creator	http://data.europa.eu/eli/ontology#passed_by					"The person or organization that originally passed or made the law: typically parliament (for primary legislation) or government (for secondary legislation). This indicates the ""legal author"" of the law, as opposed to its physical author."
legislation-responsible	"Organization, Person"	Legislation	legislation_responsible	legislationResponsible	pending:		http://data.europa.eu/eli/ontology#responsibility_of					"An individual or organization that has some kind of responsibility for the legislation. Typically the ministry who is/was in charge of elaborating the legislation, or the adressee for potential questions about the legislation once it is published."
lender	"Organization, Person"	BorrowAction	lender	lender		participant						A sub property of participant. The person that lends the object being borrowed.
