sub-type-of	sub_type_of	subTypeOf	is_a_label_snail	label_snail	label-dash	id	label	enumerationtype	equivalentClass	isPartOf	properties	subTypes	supersedes	supersededBy	comment
local-business	local_business	LocalBusiness	is_an_employment_agency	employment_agency	employment-agency	EmploymentAgency	EmploymentAgency				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				An employment agency.
medical-specialty	medical_specialty	MedicalSpecialty	is_an_endocrine	endocrine	endocrine	Endocrine	Endocrine	MedicalSpecialty							A specific branch of medical science that pertains to diagnosis and treatment of disorders of endocrine glands and their secretions.
react-action	react_action	ReactAction	is_an_endorse_action	endorse_action	endorse-action	EndorseAction	EndorseAction				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, endorsee, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url				An agent approves/certifies/likes/supports/sanctions an object.
rating	rating	Rating	is_an_endorsement_rating	endorsement_rating	endorsement-rating	EndorsementRating	EndorsementRating				additionalType, alternateName, author, bestRating, description, disambiguatingDescription, identifier, image, mainEntityOfPage, name, potentialAction, ratingExplanation, ratingValue, reviewAspect, sameAs, subjectOf, url, worstRating				"An EndorsementRating is a rating that expresses some level of endorsement, for example inclusion in a ""critic's pick"" blog,
a ""Like"" or ""+1"" on a social network. It can be considered the <a class=""localLink"" href=""/result"">result</a> of an <a class=""localLink"" href=""/EndorseAction"">EndorseAction</a> in which the <a class=""localLink"" href=""/object"">object</a> of the action is rated positively by
some <a class=""localLink"" href=""/agent"">agent</a>. As is common elsewhere in schema.org, it is sometimes more useful to describe the results of such an action without explicitly describing the <a class=""localLink"" href=""/Action"">Action</a>.<br/><br/>

An <a class=""localLink"" href=""/EndorsementRating"">EndorsementRating</a> may be part of a numeric scale or organized system, but this is not required: having an explicit type for indicating a positive,
endorsement rating is particularly useful in the absence of numeric scales as it helps consumers understand that the rating is broadly positive."
quantity	quantity	Quantity	is_an_energy	energy	energy	Energy	Energy				additionalType, alternateName, description, disambiguatingDescription, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, url				Properties that take Energy as values are of the form '&lt;Number&gt; &lt;Energy unit of measure&gt;'.
intangible	intangible	Intangible	is_an_energy_consumption_details	energy_consumption_details	energy-consumption-details	EnergyConsumptionDetails	EnergyConsumptionDetails			https://pending.schema.org	additionalType, alternateName, description, disambiguatingDescription, energyEfficiencyScaleMax, energyEfficiencyScaleMin, hasEnergyEfficiencyCategory, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, url				EnergyConsumptionDetails represents information related to the energy efficiency of a product that consumes energy. The information that can be provided is based on international regulations such as for example <a href="https://eur-lex.europa.eu/eli/reg/2017/1369/oj">EU directive 2017/1369</a> for energy labeling and the <a href="https://www.ftc.gov/enforcement/rules/rulemaking-regulatory-reform-proceedings/energy-water-use-labeling-consumer">Energy labeling rule</a> under the Energy Policy and Conservation Act (EPCA) in the US.
enumeration	enumeration	Enumeration	is_an_energy_efficiency_enumeration	energy_efficiency_enumeration	energy-efficiency-enumeration	EnergyEfficiencyEnumeration	EnergyEfficiencyEnumeration			https://pending.schema.org		EUEnergyEfficiencyEnumeration, EnergyStarEnergyEfficiencyEnumeration			Enumerates energy efficiency levels (also known as "classes" or "ratings") and certifications that are part of several international energy efficiency standards.
energy-star-energy-efficiency-enumeration	energy_star_energy_efficiency_enumeration	EnergyStarEnergyEfficiencyEnumeration	is_an_energy_star_certified	energy_star_certified	energy-star-certified	EnergyStarCertified	EnergyStarCertified	EnergyStarEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EnergyStar certification.
energy-efficiency-enumeration	energy_efficiency_enumeration	EnergyEfficiencyEnumeration	is_an_energy_star_energy_efficiency_enumeration	energy_star_energy_efficiency_enumeration	energy-star-energy-efficiency-enumeration	EnergyStarEnergyEfficiencyEnumeration	EnergyStarEnergyEfficiencyEnumeration			https://pending.schema.org					Used to indicate whether a product is EnergyStar certified.
structured-value	structured_value	StructuredValue	is_an_engine_specification	engine_specification	engine-specification	EngineSpecification	EngineSpecification				additionalType, alternateName, description, disambiguatingDescription, engineDisplacement, enginePower, engineType, fuelType, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, torque, url				Information about the engine of the vehicle. A vehicle can have multiple engines represented by multiple engine specification entities.
medical-study-status	medical_study_status	MedicalStudyStatus	is_an_enrolling_by_invitation	enrolling_by_invitation	enrolling-by-invitation	EnrollingByInvitation	EnrollingByInvitation	MedicalStudyStatus							Enrolling participants by invitation only.
local-business	local_business	LocalBusiness	is_an_entertainment_business	entertainment_business	entertainment-business	EntertainmentBusiness	EntertainmentBusiness				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID	AdultEntertainment, AmusementPark, ArtGallery, Casino, ComedyClub, MovieTheater, NightClub			A business providing entertainment.
intangible	intangible	Intangible	is_an_entry_point	entry_point	entry-point	EntryPoint	EntryPoint				actionApplication, actionPlatform, additionalType, alternateName, application, contentType, description, disambiguatingDescription, encodingType, httpMethod, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, url, urlTemplate				An entry point, within some Web-based protocol.
intangible	intangible	Intangible	is_an_enumeration	enumeration	enumeration	Enumeration	Enumeration				additionalType, alternateName, description, disambiguatingDescription, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, supersededBy, url	AdultOrientedEnumeration, BoardingPolicyType, BookFormatType, BusinessEntityType, BusinessFunction, CarUsageType, ContactPointOption, DayOfWeek, DeliveryMethod, DigitalDocumentPermissionType, DigitalPlatformEnumeration, EnergyEfficiencyEnumeration, EventAttendanceModeEnumeration, GameAvailabilityEnumeration, GamePlayMode, GenderType, GovernmentBenefitsType, HealthAspectEnumeration, ItemAvailability, ItemListOrderType, LegalValueLevel, MapCategoryType, MeasurementTypeEnumeration, MediaManipulationRatingEnumeration, MedicalEnumeration, MerchantReturnEnumeration, MusicAlbumProductionType, MusicAlbumReleaseType, MusicReleaseFormatType, NonprofitType, OfferItemCondition, PaymentMethod, PhysicalActivityCategory, PriceComponentTypeEnumeration, PriceTypeEnumeration, ProductReturnEnumeration, QualitativeValue, RefundTypeEnumeration, RestrictedDiet, ReturnFeesEnumeration, ReturnLabelSourceEnumeration, ReturnMethodEnumeration, RsvpResponseType, SizeGroupEnumeration, SizeSystemEnumeration, Specialty, StatusEnumeration, WarrantyScope			Lists or enumerations—for example, a list of cuisines or music genres, etc.
music-album-release-type	music_album_release_type	MusicAlbumReleaseType	is_an_ep_release	ep_release	ep-release	EPRelease	EPRelease	MusicAlbumReleaseType							EPRelease.
creative-work	creative_work	CreativeWork	is_an_episode	episode	episode	Episode	Episode				about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, actor, actors, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, assesses, associatedMedia, audience, audio, author, award, awards, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, director, directors, disambiguatingDescription, discussionUrl, duration, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, episodeNumber, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, musicBy, name, offers, partOfSeason, partOfSeries, pattern, position, potentialAction, producer, productionCompany, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, releasedEvent, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, size, sourceOrganization, spatial, spatialCoverage, sponsor, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, trailer, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, workExample, workTranslation	PodcastEpisode, RadioEpisode, TVEpisode			A media episode (e.g. TV, radio, video game) which can be part of a series or season.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_a	eu_energy_efficiency_category_a	eu-energy-efficiency-category-a	EUEnergyEfficiencyCategoryA	EUEnergyEfficiencyCategoryA	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class A as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_a1plus	eu_energy_efficiency_category_a1plus	eu-energy-efficiency-category-a1plus	EUEnergyEfficiencyCategoryA1Plus	EUEnergyEfficiencyCategoryA1Plus	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class A+ as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_a2plus	eu_energy_efficiency_category_a2plus	eu-energy-efficiency-category-a2plus	EUEnergyEfficiencyCategoryA2Plus	EUEnergyEfficiencyCategoryA2Plus	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class A++ as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_a3plus	eu_energy_efficiency_category_a3plus	eu-energy-efficiency-category-a3plus	EUEnergyEfficiencyCategoryA3Plus	EUEnergyEfficiencyCategoryA3Plus	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class A+++ as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_b	eu_energy_efficiency_category_b	eu-energy-efficiency-category-b	EUEnergyEfficiencyCategoryB	EUEnergyEfficiencyCategoryB	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class B as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_c	eu_energy_efficiency_category_c	eu-energy-efficiency-category-c	EUEnergyEfficiencyCategoryC	EUEnergyEfficiencyCategoryC	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class C as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_d	eu_energy_efficiency_category_d	eu-energy-efficiency-category-d	EUEnergyEfficiencyCategoryD	EUEnergyEfficiencyCategoryD	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class D as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_e	eu_energy_efficiency_category_e	eu-energy-efficiency-category-e	EUEnergyEfficiencyCategoryE	EUEnergyEfficiencyCategoryE	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class E as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_f	eu_energy_efficiency_category_f	eu-energy-efficiency-category-f	EUEnergyEfficiencyCategoryF	EUEnergyEfficiencyCategoryF	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class F as defined in EU energy labeling regulations.
eu-energy-efficiency-enumeration	eu_energy_efficiency_enumeration	EUEnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_category_g	eu_energy_efficiency_category_g	eu-energy-efficiency-category-g	EUEnergyEfficiencyCategoryG	EUEnergyEfficiencyCategoryG	EUEnergyEfficiencyEnumeration		https://pending.schema.org					Represents EU Energy Efficiency Class G as defined in EU energy labeling regulations.
energy-efficiency-enumeration	energy_efficiency_enumeration	EnergyEfficiencyEnumeration	is_an_eu_energy_efficiency_enumeration	eu_energy_efficiency_enumeration	eu-energy-efficiency-enumeration	EUEnergyEfficiencyEnumeration	EUEnergyEfficiencyEnumeration			https://pending.schema.org					Enumerates the EU energy efficiency classes A-G as well as A+, A++, and A+++ as defined in EU directive 2017/1369.
thing	thing	Thing	is_an_event	event	event	Event	Event		http://purl.org/dc/dcmitype/Event		about, actor, additionalType, aggregateRating, alternateName, attendee, attendees, audience, composer, contributor, description, director, disambiguatingDescription, doorTime, duration, endDate, eventAttendanceMode, eventSchedule, eventStatus, funder, funding, identifier, image, inLanguage, isAccessibleForFree, keywords, location, mainEntityOfPage, maximumAttendeeCapacity, maximumPhysicalAttendeeCapacity, maximumVirtualAttendeeCapacity, name, offers, organizer, performer, performers, potentialAction, previousStartDate, recordedIn, remainingAttendeeCapacity, review, sameAs, sponsor, startDate, subEvent, subEvents, subjectOf, superEvent, translator, typicalAgeRange, url, workFeatured, workPerformed	BusinessEvent, ChildrensEvent, ComedyEvent, CourseInstance, DanceEvent, DeliveryEvent, EducationEvent, EventSeries, ExhibitionEvent, Festival, FoodEvent, Hackathon, LiteraryEvent, MusicEvent, PublicationEvent, SaleEvent, ScreeningEvent, SocialEvent, SportsEvent, TheaterEvent, UserInteraction, VisualArtsEvent			An event happening at a certain time and location, such as a concert, lecture, or festival. Ticketing information may be added via the <a class="localLink" href="/offers">offers</a> property. Repeated events may be structured as separate Event objects.
enumeration	enumeration	Enumeration	is_an_event_attendance_mode_enumeration	event_attendance_mode_enumeration	event-attendance-mode-enumeration	EventAttendanceModeEnumeration	EventAttendanceModeEnumeration			https://pending.schema.org					An EventAttendanceModeEnumeration value is one of potentially several modes of organising an event, relating to whether it is online or offline.
event-status-type	event_status_type	EventStatusType	is_an_event_cancelled	event_cancelled	event-cancelled	EventCancelled	EventCancelled	EventStatusType							The event has been cancelled. If the event has multiple startDate values, all are assumed to be cancelled. Either startDate or previousStartDate may be used to specify the event's cancelled date(s).
event-status-type	event_status_type	EventStatusType	is_an_event_moved_online	event_moved_online	event-moved-online	EventMovedOnline	EventMovedOnline	EventStatusType							Indicates that the event was changed to allow online participation. See <a class="localLink" href="/eventAttendanceMode">eventAttendanceMode</a> for specifics of whether it is now fully or partially online.
event-status-type	event_status_type	EventStatusType	is_an_event_postponed	event_postponed	event-postponed	EventPostponed	EventPostponed	EventStatusType							The event has been postponed and no new date has been set. The event's previousStartDate should be set.
event-status-type	event_status_type	EventStatusType	is_an_event_rescheduled	event_rescheduled	event-rescheduled	EventRescheduled	EventRescheduled	EventStatusType							The event has been rescheduled. The event's previousStartDate should be set to the old date and the startDate should be set to the event's new date. (If the event has been rescheduled multiple times, the previousStartDate property may be repeated.)
reservation	reservation	Reservation	is_an_event_reservation	event_reservation	event-reservation	EventReservation	EventReservation				additionalType, alternateName, bookingAgent, bookingTime, broker, description, disambiguatingDescription, identifier, image, mainEntityOfPage, modifiedTime, name, potentialAction, priceCurrency, programMembershipUsed, provider, reservationFor, reservationId, reservationStatus, reservedTicket, sameAs, subjectOf, totalPrice, underName, url				"A reservation for an event like a concert, sporting event, or lecture.<br/><br/>

Note: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use <a class=""localLink"" href=""/Offer"">Offer</a>."
event-status-type	event_status_type	EventStatusType	is_an_event_scheduled	event_scheduled	event-scheduled	EventScheduled	EventScheduled	EventStatusType							The event is taking place or has taken place on the startDate as scheduled. Use of this value is optional, as it is assumed by default.
event	event	Event, Series	is_an_event_series	event_series	event-series	EventSeries	EventSeries			https://pending.schema.org	about, actor, additionalType, aggregateRating, alternateName, attendee, attendees, audience, composer, contributor, description, director, disambiguatingDescription, doorTime, duration, endDate, eventAttendanceMode, eventSchedule, eventStatus, funder, funding, identifier, image, inLanguage, isAccessibleForFree, keywords, location, mainEntityOfPage, maximumAttendeeCapacity, maximumPhysicalAttendeeCapacity, maximumVirtualAttendeeCapacity, name, offers, organizer, performer, performers, potentialAction, previousStartDate, recordedIn, remainingAttendeeCapacity, review, sameAs, sponsor, startDate, subEvent, subEvents, subjectOf, superEvent, translator, typicalAgeRange, url, workFeatured, workPerformed				"A series of <a class=""localLink"" href=""/Event"">Event</a>s. Included events can relate with the series using the <a class=""localLink"" href=""/superEvent"">superEvent</a> property.<br/><br/>

An EventSeries is a collection of events that share some unifying characteristic. For example, ""The Olympic Games"" is a series, which
is repeated regularly. The ""2012 London Olympics"" can be presented both as an <a class=""localLink"" href=""/Event"">Event</a> in the series ""Olympic Games"", and as an
<a class=""localLink"" href=""/EventSeries"">EventSeries</a> that included a number of sporting competitions as Events.<br/><br/>

The nature of the association between the events in an <a class=""localLink"" href=""/EventSeries"">EventSeries</a> can vary, but typical examples could
include a thematic event series (e.g. topical meetups or classes), or a series of regular events that share a location, attendee group and/or organizers.<br/><br/>

EventSeries has been defined as a kind of Event to make it easy for publishers to use it in an Event context without
worrying about which kinds of series are really event-like enough to call an Event. In general an EventSeries
may seem more Event-like when the period of time is compact and when aspects such as location are fixed, but
it may also sometimes prove useful to describe a longer-term series as an Event."
status-enumeration	status_enumeration	StatusEnumeration	is_an_event_status_type	event_status_type	event-status-type	EventStatusType	EventStatusType								EventStatusType is an enumeration type whose instances represent several states that an Event may be in.
civic-structure	civic_structure	CivicStructure	is_an_event_venue	event_venue	event-venue	EventVenue	EventVenue				additionalProperty, additionalType, address, aggregateRating, alternateName, amenityFeature, branchCode, containedIn, containedInPlace, containsPlace, description, disambiguatingDescription, event, events, faxNumber, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasDriveThroughService, hasMap, identifier, image, isAccessibleForFree, isicV4, keywords, latitude, logo, longitude, mainEntityOfPage, map, maps, maximumAttendeeCapacity, name, openingHours, openingHoursSpecification, photo, photos, potentialAction, publicAccess, review, reviews, sameAs, slogan, smokingAllowed, specialOpeningHoursSpecification, subjectOf, telephone, tourBookingPage, url				An event venue.
medical-evidence-level	medical_evidence_level	MedicalEvidenceLevel	is_an_evidence_level_a	evidence_level_a	evidence-level-a	EvidenceLevelA	EvidenceLevelA	MedicalEvidenceLevel							Data derived from multiple randomized clinical trials or meta-analyses.
medical-evidence-level	medical_evidence_level	MedicalEvidenceLevel	is_an_evidence_level_b	evidence_level_b	evidence-level-b	EvidenceLevelB	EvidenceLevelB	MedicalEvidenceLevel							Data derived from a single randomized trial, or nonrandomized studies.
medical-evidence-level	medical_evidence_level	MedicalEvidenceLevel	is_an_evidence_level_c	evidence_level_c	evidence-level-c	EvidenceLevelC	EvidenceLevelC	MedicalEvidenceLevel							Only consensus opinion of experts, case studies, or standard-of-care.
structured-value	structured_value	StructuredValue	is_an_exchange_rate_specification	exchange_rate_specification	exchange-rate-specification	ExchangeRateSpecification	ExchangeRateSpecification			https://pending.schema.org	additionalType, alternateName, currency, currentExchangeRate, description, disambiguatingDescription, exchangeRateSpread, identifier, image, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, url				A structured value representing exchange rate.
refund-type-enumeration	refund_type_enumeration	RefundTypeEnumeration	is_an_exchange_refund	exchange_refund	exchange-refund	ExchangeRefund	ExchangeRefund	RefundTypeEnumeration		https://pending.schema.org					Specifies that a refund can be done as an exchange for the same product.
play-action	play_action	PlayAction	is_an_exercise_action	exercise_action	exercise-action	ExerciseAction	ExerciseAction				actionStatus, additionalType, agent, alternateName, audience, course, description, diet, disambiguatingDescription, distance, endTime, error, event, exerciseCourse, exercisePlan, exerciseRelatedDiet, exerciseType, fromLocation, identifier, image, instrument, location, mainEntityOfPage, name, object, opponent, participant, potentialAction, provider, result, sameAs, sportsActivityLocation, sportsEvent, sportsTeam, startTime, subjectOf, target, toLocation, url				The act of participating in exertive activity for the purposes of improving health and fitness.
sports-activity-location	sports_activity_location	SportsActivityLocation	is_an_exercise_gym	exercise_gym	exercise-gym	ExerciseGym	ExerciseGym				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				A gym.
creative-work	creative_work	CreativeWork, PhysicalActivity	is_an_exercise_plan	exercise_plan	exercise-plan	ExercisePlan	ExercisePlan				about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, activityDuration, activityFrequency, additionalType, additionalVariable, aggregateRating, alternateName, alternativeHeadline, archivedAt, assesses, associatedAnatomy, associatedMedia, audience, audio, author, award, awards, category, character, citation, code, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, epidemiology, exampleOfWork, exerciseType, expires, fileFormat, funder, funding, genre, guideline, hasPart, headline, identifier, image, inLanguage, intensity, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, legalStatus, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, medicineSystem, mentions, name, offers, pathophysiology, pattern, position, potentialAction, producer, provider, publication, publisher, publisherImprint, publishingPrinciples, recognizingAuthority, recordedAt, releasedEvent, relevantSpecialty, repetitions, restPeriods, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, size, sourceOrganization, spatial, spatialCoverage, sponsor, study, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, workExample, workTranslation, workload				Fitness-related activity designed for a specific health-related purpose, including defined exercise routines as well as activity prescribed by a clinician.
event	event	Event	is_an_exhibition_event	exhibition_event	exhibition-event	ExhibitionEvent	ExhibitionEvent				about, actor, additionalType, aggregateRating, alternateName, attendee, attendees, audience, composer, contributor, description, director, disambiguatingDescription, doorTime, duration, endDate, eventAttendanceMode, eventSchedule, eventStatus, funder, funding, identifier, image, inLanguage, isAccessibleForFree, keywords, location, mainEntityOfPage, maximumAttendeeCapacity, maximumPhysicalAttendeeCapacity, maximumVirtualAttendeeCapacity, name, offers, organizer, performer, performers, potentialAction, previousStartDate, recordedIn, remainingAttendeeCapacity, review, sameAs, sponsor, startDate, subEvent, subEvents, subjectOf, superEvent, translator, typicalAgeRange, url, workFeatured, workPerformed				Event type: Exhibition event, e.g. at a museum, library, archive, tradeshow, ...
physical-exam	physical_exam	PhysicalExam	is_an_eye	eye	eye	Eye	Eye	PhysicalExam							Eye or ophthalmological function assessment with clinical examination.
