domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
Legislation	legislation_transposes	Legislation	legislation-transposes	legislationTransposes	pending:	legislationApplies	http://data.europa.eu/eli/ontology#transposes					Indicates that this legislation (or part of legislation) fulfills the objectives set by another legislation, by passing appropriate implementation measures. Typically, some legislations of European Union's member states or regions transpose European Directives. This indicates a legally binding link between the 2 legislations.
Legislation	legislation_type	CategoryCode, Text	legislation-type	legislationType	pending:	genre	http://data.europa.eu/eli/ontology#type_document					The type of the legislation. Examples of values are "law", "act", "directive", "decree", "regulation", "statutory instrument", "loi organique", "r�glement grand-ducal", etc., depending on the country.
BorrowAction	lender	Organization, Person	lender	lender		participant						A sub property of participant. The person that lends the object being borrowed.
QualitativeValue	lesser	QualitativeValue	lesser	lesser								This ordering relation for qualitative values indicates that the subject is lesser than the object.
QualitativeValue	lesser_or_equal	QualitativeValue	lesser-or-equal	lesserOrEqual								This ordering relation for qualitative values indicates that the subject is lesser than or equal to the object.
ComicIssue, ComicStory, VisualArtwork	letterer	Person	letterer	letterer	https://bib.schema.org							The individual who adds lettering, including speech balloons and sound effects, to artwork.
CreativeWork	license	CreativeWork, URL	license	license								A license document that applies to this content, typically indicated by URL.
LiveBlogPosting	live_blog_update	BlogPosting	live-blog-update	liveBlogUpdate								An update to the LiveBlog.
LoanOrCredit	loan_repayment_form	RepaymentSpecification	loan-repayment-form	loanRepaymentForm	pending:							A form of paying back money previously borrowed from a lender. Repayment usually takes the form of periodic payments that normally include part principal plus interest in each payment.
LodgingReservation	lodging_unit_type	QualitativeValue, Text	lodging-unit-type	lodgingUnitType								Textual description of the unit type (including suite vs. room, size of bed, etc.).
Brand, Organization, Place, Product, Service	logo	ImageObject, URL	logo	logo		image						An associated logo.
WinAction	loser	Person	loser	loser		participant						A sub property of participant. The loser of the action.
MusicComposition	lyricist	Person	lyricist	lyricist								The person who wrote the words.
MusicComposition	lyrics	CreativeWork	lyrics	lyrics								The words in the song.
WebPage	main_content_of_page	WebPageElement	main-content-of-page	mainContentOfPage						aspect		Indicates if this web page element is the main subject of the page.
CreativeWork	main_entity	Thing	main-entity	mainEntity		about			mainEntityOfPage			Indicates the primary entity described in some page or other CreativeWork.
Thing	main_entity_of_page	CreativeWork, URL	main-entity-of-page	mainEntityOfPage					mainEntity			Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See <a href="/docs/datamodel.html#mainEntityBackground">background notes</a> for details.
CreativeWork	maintainer	Organization, Person	maintainer	maintainer	pending:							A maintainer of a <a class="localLink" href="/Dataset">Dataset</a>, software package (<a class="localLink" href="/SoftwareApplication">SoftwareApplication</a>), or other <a class="localLink" href="/Project">Project</a>. A maintainer is a <a class="localLink" href="/Person">Person</a> or <a class="localLink" href="/Organization">Organization</a> that manages contributions to, and/or publication of, some (typically complex) artifact. It is common for distributions of software and data to be based on "upstream" sources. When <a class="localLink" href="/maintainer">maintainer</a> is applied to a specific version of something e.g. a particular version or packaging of a <a class="localLink" href="/Dataset">Dataset</a>, it is always  possible that the upstream source has a different maintainer. The <a class="localLink" href="/isBasedOn">isBasedOn</a> property can be used to indicate such relationships between datasets to make the different maintenance roles clear. Similarly in the case of software, a package may have dedicated maintainers working on integration into software distributions such as Ubuntu, as well as upstream maintainers of the underlying work.
Product	manufacturer	Organization	manufacturer	manufacturer								The manufacturer of the product.
Place	map	Map, URL	has-map	hasMap						map, maps		A URL to a map of the place.
Map	map_type	MapCategoryType	map-type	mapType								Indicates the kind of Map, from the MapCategoryType Enumeration.
NewsMediaOrganization	masthead	CreativeWork, URL	masthead	masthead	pending:	publishingPrinciples						For a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>, a link to the masthead page or a page listing top editorial management.
CreativeWork, Product	material	Product, Text, URL	material	material				artMedium, surface				A material that something is made from, e.g. leather, wool, cotton, paper.
MathSolver	math_expression	SolveMathAction, Text	math-expression	mathExpression	pending:							A mathematical expression (e.g. 'x^2-3x=0') that may be solved for a specific variable, simplified, or transformed. This can take many formats, e.g. LaTeX, Ascii-Math, or math as you would write with a keyboard.
DietarySupplement, Drug, DrugStrength, Substance	maximum_intake	MaximumDoseSchedule	maximum-intake	maximumIntake								Recommended intake of this supplement for a given population as defined by a specific recommending authority.
Observation	measured_property	Property	measured-property	measuredProperty	pending:							The measuredProperty of an <a class="localLink" href="/Observation">Observation</a>, either a schema.org property, a property from other RDF-compatible systems, e.g. W3C RDF Data Cube, or schema.org extensions such as <a href="https://www.gs1.org/voc/?show=properties">GS1's</a>.
Observation	measured_value	DataType	measured-value	measuredValue	pending:							The measuredValue of an <a class="localLink" href="/Observation">Observation</a>.
MediaReview	media_authenticity_category	MediaManipulationRatingEnumeration	media-authenticity-category	mediaAuthenticityCategory	pending:							Indicates a MediaManipulationRatingEnumeration classification of a media object (in the context of how it was published or shared).
MediaReviewItem	media_item_appearance	MediaObject	media-item-appearance	mediaItemAppearance	pending:							In the context of a <a class="localLink" href="/MediaReview">MediaReview</a>, indicates specific media item(s) that are grouped using a <a class="localLink" href="/MediaReviewItem">MediaReviewItem</a>.
MedicalWebPage	medical_audience	MedicalAudience, MedicalAudienceType	medical-audience	medicalAudience								Medical audience for page.
Hospital, MedicalClinic, MedicalOrganization, Physician	medical_specialty	MedicalSpecialty	medical-specialty	medicalSpecialty								A medical specialty of the provider.
MedicalEntity	medicine_system	MedicineSystem	medicine-system	medicineSystem								The system of medicine that includes this MedicalEntity, for example 'evidence-based', 'homeopathic', 'chiropractic', etc.
Vehicle	meets_emission_standard	QualitativeValue, Text, URL	meets-emission-standard	meetsEmissionStandard	https://auto.schema.org							Indicates that the vehicle meets the respective emission standard.
Organization, ProgramMembership	member	Organization, Person	member	member					memberOf	members, musicGroupMember		A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals.
Organization, Person	member_of	Organization, ProgramMembership	member-of	memberOf				affiliation	member			An Organization (or ProgramMembership) to which this Person or Organization belongs.
Organization, ProgramMembership	members	Organization, Person	members	members							member	A member of this organization.
CreativeWork	mentions	Thing	mentions	mentions								Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.
FoodEstablishment	menu	Menu, Text, URL	has-menu	hasMenu						menu		Either the actual menu as a structured representation, as text, or a URL of the menu.
FoodEstablishment	menu	Menu, Text, URL	menu	menu							hasMenu	Either the actual menu as a structured representation, as text, or a URL of the menu.
MenuItem	menu_add_on	MenuItem, MenuSection	menu-add-on	menuAddOn								Additional menu item(s) such as a side dish of salad or side order of fries that can be added to this menu item. Additionally it can be a menu section containing allowed add-on menu items for this menu item.
Menu, MenuSection	menu_item	MenuItem	has-menu-item	hasMenuItem								A food or drink item contained in a menu or menu section.
Menu, MenuSection	menu_section	MenuSection	has-menu-section	hasMenuSection								A subgrouping of the menu (by dishes, course, serving time period, etc.).
Order	merchant	Organization, Person	merchant	merchant							seller	'merchant' is an out-dated term for 'seller'.
Offer, Organization, Product	merchant_return_policy	MerchantReturnPolicy	has-merchant-return-policy	hasMerchantReturnPolicy	pending:					hasProductReturnPolicy		Specifies a MerchantReturnPolicy that may be applicable.
Message	message_attachment	CreativeWork	message-attachment	messageAttachment								A CreativeWork attached to the message.
NewsMediaOrganization	mission_coverage_priorities_policy	CreativeWork, URL	mission-coverage-priorities-policy	missionCoveragePrioritiesPolicy	pending:	publishingPrinciples						For a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>, a statement on coverage priorities, including any public agenda or stance on issues.
Product	model	ProductModel, Text	model	model								The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.
BioChemEntity	molecular_function	DefinedTerm, PropertyValue, URL	has-molecular-function	hasMolecularFunction	pending:							Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.
MusicComposition	music_arrangement	MusicComposition	music-arrangement	musicArrangement								An arrangement derived from the composition.
Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	music_by	MusicGroup, Person	music-by	musicBy								The composer of the soundtrack.
MusicGroup	music_group_member	Person	music-group-member	musicGroupMember							member	A member of a music group&#x2014;for example, John, Paul, George, or Ringo.
MusicRelease	music_release_format	MusicReleaseFormatType	music-release-format	musicReleaseFormat								Format of this release (the type of recording media used, i.e. compact disc, digital media, LP, etc.).
Person	nationality	Country	nationality	nationality								Nationality of the person.
Product, Review	negative_notes	ItemList, ListItem, Text, WebContent	negative-notes	negativeNotes	pending:							"Provides negative considerations regarding something, most typically in pro/con lists for reviews (alongside <a class=""localLink"" href=""/positiveNotes"">positiveNotes</a>). For symmetry <br/><br/>

In the case of a <a class=""localLink"" href=""/Review"">Review</a>, the property describes the <a class=""localLink"" href=""/itemReviewed"">itemReviewed</a> from the perspective of the review; in the case of a <a class=""localLink"" href=""/Product"">Product</a>, the product itself is being described. Since product descriptions 
tend to emphasise positive claims, it may be relatively unusual to find <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> used in this way. Nevertheless for the sake of symmetry, <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a> can be used on <a class=""localLink"" href=""/Product"">Product</a>.<br/><br/>

The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most negative is at the beginning of the list)."
Muscle	nerve	Nerve	nerve	nerve								The underlying innervation associated with the muscle.
Nerve	nerve_motor	Muscle	nerve-motor	nerveMotor								The neurological pathway extension that involves muscle control.
ListItem	next_item	ListItem	next-item	nextItem								A link to the ListItem that follows the current one.
NewsMediaOrganization	no_bylines_policy	CreativeWork, URL	no-bylines-policy	noBylinesPolicy	pending:	publishingPrinciples						For a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a> or other news-related <a class="localLink" href="/Organization">Organization</a>, a statement explaining when authors of articles are not named in bylines.
QualitativeValue	non_equal	QualitativeValue	non-equal	nonEqual								This ordering relation for qualitative values indicates that the subject is not equal to the object.
Organization	nonprofit_status	NonprofitType	nonprofit-status	nonprofitStatus	pending:							nonprofitStatus indicates the legal status of a non-profit organization in its primary place of business.
MedicalTest	normal_range	MedicalEnumeration, Text	normal-range	normalRange								Range of acceptable values for a typical patient, when applicable.
MenuItem, Recipe	nutrition	NutritionInformation	nutrition	nutrition								Nutrition information about the recipe or menu item.
Action	object	Thing	object	object				actionOption, candidate, collection, followee, option, question, replacee, replacer, targetCollection				The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). E.g. John read <em>a book</em>.
Observation	observed_node	StatisticalPopulation	observed-node	observedNode	pending:							The observedNode of an <a class="localLink" href="/Observation">Observation</a>, often a <a class="localLink" href="/StatisticalPopulation">StatisticalPopulation</a>.
Person	occupation	Occupation	has-occupation	hasOccupation								The Person's occupation. For past professions, use Role for expressing dates.
Occupation	occupation_location	AdministrativeArea	occupation-location	occupationLocation								The region/country for which this occupational description is appropriate. Note that educational requirements and qualifications can vary between jurisdictions.
EducationalOccupationalProgram, JobPosting, Occupation, WorkBasedProgram	occupational_category	CategoryCode, Text	occupational-category	occupationalCategory	pending:							"A category describing the job, preferably using a term from a taxonomy such as <a href=""http://www.onetcenter.org/taxonomy.html"">BLS O*NET-SOC</a>, <a href=""https://www.ilo.org/public/english/bureau/stat/isco/isco08/"">ISCO-08</a> or similar, with the property repeated for each applicable value. Ideally the taxonomy should be identified, and both the textual label and formal code for the category should be provided.<br/><br/>

Note: for historical reasons, any textual label and formal code provided as a literal may be assumed to be from O*NET-SOC."
Course, EducationalOccupationalProgram	occupational_credential_awarded	EducationalOccupationalCredential, Text, URL	occupational-credential-awarded	occupationalCredentialAwarded	pending:							A description of the qualification, award, certificate, diploma or other occupational credential awarded as a consequence of successful completion of this course or program.
Organization, Person, Service	offer_catalog	OfferCatalog	has-offer-catalog	hasOfferCatalog								Indicates an OfferCatalog listing for this Organization, Person, or Service.
Offer	offered_by	Organization, Person	offered-by	offeredBy					makesOffer			A pointer to the organization or person making the offer.
AggregateOffer, CreativeWork, EducationalOccupationalProgram, Event, MenuItem, Product, Service, Trip	offers	Demand, Offer	offers	offers					itemOffered			An offer to provide this item&#x2014;for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event. Use <a class="localLink" href="/businessFunction">businessFunction</a> to indicate the kind of transaction offered, i.e. sell, lease, etc. This property can also be used to describe a <a class="localLink" href="/Demand">Demand</a>. While this property is listed as expected on a number of common types, it can be used in others. In that case, using a second type, such as Product or a subtype of Product, can clarify the nature of the offer.
Place	opening_hours_specification	OpeningHoursSpecification	opening-hours-specification	openingHoursSpecification								The opening hours of a certain place.
OpeningHoursSpecification	opens	Time	opens	opens								The opening hour of the place or service on the given day(s) of the week.
ExerciseAction	opponent	Person	opponent	opponent		participant						A sub property of participant. The opponent on this action.
Order, OrderItem	order_delivery	ParcelDelivery	order-delivery	orderDelivery								The delivery of the parcel related to this order or order item.
OrderItem	order_item_status	OrderStatus	order-item-status	orderItemStatus								The current status of the order item.
Order	order_status	OrderStatus	order-status	orderStatus								The current status of the order.
Order, OrderItem	ordered_item	OrderItem, Product, Service	ordered-item	orderedItem								The item ordered.
Event	organizer	Organization, Person	organizer	organizer								An organizer of an Event.
MediaReview	original_media_link	MediaObject, URL, WebPage	original-media-link	originalMediaLink	pending:							Link to the page containing an original version of the content, or directly to an online copy of the original <a class="localLink" href="/MediaObject">MediaObject</a> content, e.g. video file.
NewsMediaOrganization, Organization	ownership_funding_info	AboutPage, CreativeWork, Text, URL	ownership-funding-info	ownershipFundingInfo	pending:	publishingPrinciples						For an <a class="localLink" href="/Organization">Organization</a> (often but not necessarily a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>), a description of organizational ownership structure; funding and grants. In a news/media setting, this is with particular reference to editorial independence.   Note that the <a class="localLink" href="/funder">funder</a> is also available and can be used to make basic funder information machine-readable.
Organization, Person	owns	OwnershipInfo, Product	owns	owns								Products owned by the organization or person.
Person	parent	Person	parent	parent						parents		A parent of this person.
Comment	parent_item	Comment	parent-item	parentItem								The parent of a question, answer or item in general.
Organization	parent_organization	Organization	parent-organization	parentOrganization					subOrganization	branchOf		The larger organization that this organization is a <a class="localLink" href="/subOrganization">subOrganization</a> of, if any.
BroadcastService	parent_service	BroadcastService	parent-service	parentService								A broadcast service to which the broadcast service may belong to such as regional variations of a national channel.
Taxon	parent_taxon	Taxon, Text, URL	parent-taxon	parentTaxon	pending:				childTaxon			Closest parent taxon of the taxon in question.
Person	parents	Person	parents	parents							parent	A parents of the person.
CreativeWork	part	CreativeWork	has-part	hasPart				containsSeason, episode, season, tocEntry	isPartOf			Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense).
Clip	part_of_episode	Episode	part-of-episode	partOfEpisode		isPartOf						The episode to which this clip belongs.
Order	part_of_invoice	Invoice	part-of-invoice	partOfInvoice								The order is being paid as part of the referenced Invoice.
ParcelDelivery	part_of_order	Order	part-of-order	partOfOrder								The overall order the items in this delivery were included in.
Clip, Episode	part_of_season	CreativeWorkSeason	part-of-season	partOfSeason		isPartOf						The season to which this episode belongs.
Clip, CreativeWorkSeason, Episode	part_of_series	CreativeWorkSeries	part-of-series	partOfSeries		isPartOf				partOfTVSeries		The series to which this episode or season belongs.
AnatomicalStructure	part_of_system	AnatomicalSystem	part-of-system	partOfSystem								The anatomical or organ system that this structure is part of.
Trip	part_of_trip	Trip	part-of-trip	partOfTrip	pending:				subTrip			Identifies that this <a class="localLink" href="/Trip">Trip</a> is a subTrip of another Trip.  For example Day 1, Day 2, etc. of a multi-day trip.
TVClip, TVEpisode, TVSeason	part_of_tv_series	TVSeries	part-of-tv-series	partOfTVSeries		isPartOf					partOfSeries	The TV series to which this episode or season belongs.
Action	participant	Organization, Person	participant	participant				borrower, buyer, endorsee, landlord, lender, loser, opponent, realEstateAgent, recipient, seller, sender, sportsTeam, vendor, winner				Other co-agents that participated in the action indirectly. E.g. John wrote a book with <em>Steve</em>.
FlightReservation	passenger_priority_status	QualitativeValue, Text	passenger-priority-status	passengerPriorityStatus								The priority status assigned to a passenger for security or boarding (e.g. FastTrack or Priority).
CreativeWork, Product	pattern	DefinedTerm, Text	pattern	pattern	pending:							A pattern that something has, for example 'polka dot', 'striped', 'Canadian flag'. Values are typically expressed as text, although links to controlled value schemes are also supported.
Invoice, Order	payment_method	PaymentMethod	payment-method	paymentMethod								The name of the credit card or other method of payment for the order.
Invoice	payment_status	PaymentStatusType, Text	payment-status	paymentStatus								The status of payment; whether the invoice has been paid or not.
ComicIssue, ComicStory, VisualArtwork	penciler	Person	penciler	penciler	https://bib.schema.org							The individual who draws the primary narrative artwork.
Event	performer	Organization, Person	performer	performer						performers		A performer at the event&#x2014;for example, a presenter, musician, musical group or actor.
Person	performer_in	Event	performer-in	performerIn								Event that this person is a performer or participant in.
Event	performers	Organization, Person	performers	performers							performer	The main performer or performers of the event&#x2014;for example, a presenter, musician, or actor.
DigitalDocumentPermission	permission_type	DigitalDocumentPermissionType	permission-type	permissionType								The type of permission granted the person, organization, or audience.
Permit	permit_audience	Audience	permit-audience	permitAudience								The target audience for this permit.
Place	photo	ImageObject, Photograph	photo	photo		image				photos		A photograph of this place.
Place	photos	ImageObject, Photograph	photos	photos							photo	Photographs of this place.
JobPosting	physical_requirement	DefinedTerm, Text, URL	physical-requirement	physicalRequirement	pending:							A description of the types of physical activity associated with the job. Defined terms such as those in O*net may be used, but note that there is no way to specify the level of ability as well as its nature when using a defined term.
VideoGame, VideoGameSeries	play_mode	GamePlayMode	play-mode	playMode								Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.
StatisticalPopulation	population_type	Class	population-type	populationType	pending:							Indicates the populationType common to all members of a <a class="localLink" href="/StatisticalPopulation">StatisticalPopulation</a>.
Product, Review	positive_notes	ItemList, ListItem, Text, WebContent	positive-notes	positiveNotes	pending:							"Provides positive considerations regarding something, for example product highlights or (alongside <a class=""localLink"" href=""/negativeNotes"">negativeNotes</a>) pro/con lists for reviews.<br/><br/>

In the case of a <a class=""localLink"" href=""/Review"">Review</a>, the property describes the <a class=""localLink"" href=""/itemReviewed"">itemReviewed</a> from the perspective of the review; in the case of a <a class=""localLink"" href=""/Product"">Product</a>, the product itself is being described.<br/><br/>

The property values can be expressed either as unstructured text (repeated as necessary), or if ordered, as a list (in which case the most positive is at the beginning of the list)."
MedicalCondition, MedicalSignOrSymptom	possible_treatment	MedicalTherapy	possible-treatment	possibleTreatment								A possible treatment to address this condition, sign or symptom.
Thing	potential_action	Action	potential-action	potentialAction								Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.
ChemicalSubstance, MolecularEntity	potential_use	DefinedTerm	potential-use	potentialUse	pending:							Intended use of the BioChemEntity by humans.
ProductModel	predecessor_of	ProductModel	predecessor-of	predecessorOf								A pointer from a previous, often discontinued variant of the product to its newer variant.
Drug	pregnancy_category	DrugPregnancyCategory	pregnancy-category	pregnancyCategory								Pregnancy category of this drug.
MedicalProcedure	preparation	MedicalEntity, Text	preparation	preparation								Typical preparation that a patient must undergo before having the procedure performed.
Drug	prescription_status	DrugPrescriptionStatus, Text	prescription-status	prescriptionStatus								Indicates the status of drug prescription, e.g. local catalogs classifications or whether the drug is available by prescription or over-the-counter, etc.
ListItem	previous_item	ListItem	previous-item	previousItem								A link to the ListItem that precedes the current one.
CompoundPriceSpecification	price_component	UnitPriceSpecification	price-component	priceComponent								This property links to all <a class="localLink" href="/UnitPriceSpecification">UnitPriceSpecification</a> nodes that apply in parallel for the <a class="localLink" href="/CompoundPriceSpecification">CompoundPriceSpecification</a> node.
UnitPriceSpecification	price_component_type	PriceComponentTypeEnumeration	price-component-type	priceComponentType	pending:							Identifies a price component (for example, a line item on an invoice), part of the total price for an offer.
Demand, Offer, TradeAction	price_specification	PriceSpecification	price-specification	priceSpecification								One or more detailed price specifications, indicating the unit price and delivery or payment charges.
CompoundPriceSpecification, UnitPriceSpecification	price_type	PriceTypeEnumeration, Text	price-type	priceType								Defines the type of a price specified for an offered product, for example a list price, a (temporary) sale price or a manufacturer suggested retail price. If multiple prices are specified for an offer the <a class="localLink" href="/priceType">priceType</a> property can be used to identify the type of each such specified price. The value of priceType can be specified as a value from enumeration PriceTypeEnumeration or as a free form text string for price types that are not already predefined in PriceTypeEnumeration.
WebPage	primary_image_of_page	ImageObject	primary-image-of-page	primaryImageOfPage								Indicates the main image on the page.
MedicalCondition	primary_prevention	MedicalTherapy	primary-prevention	primaryPrevention								A preventative therapy used to prevent an initial occurrence of the medical condition, such as vaccination.
MedicalProcedure	procedure_type	MedicalProcedureType	procedure-type	procedureType								The type of procedure, for example Surgical, Noninvasive, or Percutaneous.
CreativeWork	producer	Organization, Person	producer	producer								The person or organization who produced the work (e.g. music album, movie, TV/radio series etc.).
Service	produces	Thing	produces	produces							serviceOutput	The tangible thing generated by the service, e.g. a passport, permit, etc.
ContactPoint	product_supported	Product, Text	product-supported	productSupported								The product or service this support contact point is related to (such as product support for a particular product line). This can be a specific product or product line (e.g. "iPhone") or a general category of products or services (e.g. "smartphones").
CreativeWorkSeason, Episode, MediaObject, Movie, MovieSeries, RadioSeries, TVSeries, VideoGameSeries	production_company	Organization	production-company	productionCompany								The production company or studio responsible for the item, e.g. series, video game, episode etc.
Reservation	program_membership_used	ProgramMembership	program-membership-used	programMembershipUsed								Any membership in a frequent flyer, hotel loyalty program, etc. being applied to the reservation.
EducationalOccupationalProgram	program_prerequisites	AlignmentObject, Course, EducationalOccupationalCredential, Text	program-prerequisites	programPrerequisites	pending:							Prerequisites for enrolling in the program.
EducationalOccupationalProgram	program_type	DefinedTerm, Text	program-type	programType	pending:							The type of educational or occupational program. For example, classroom, internship, alternance, etc.
SoftwareSourceCode	programming_language	ComputerLanguage, Text	programming-language	programmingLanguage								The computer programming language.
Action, CreativeWork, EducationalOccupationalProgram, Invoice, ParcelDelivery, Reservation, Service, Trip	provider	Organization, Person	provider	provider	pending:					carrier		The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
CreativeWork	publication	PublicationEvent	publication	publication								A publication event associated with the item.
PublicationEvent	published_by	Organization, Person	published-by	publishedBy	https://bib.schema.org							An agent associated with the publication event.
CreativeWork	publisher	Organization, Person	publisher	publisher								The publisher of the creative work.
CreativeWork	publisher_imprint	Organization	publisher-imprint	publisherImprint	https://bib.schema.org							The publishing division which published the comic.
CreativeWork, Organization, Person	publishing_principles	CreativeWork, URL	publishing-principles	publishingPrinciples				actionableFeedbackPolicy, correctionsPolicy, diversityStaffingReport, masthead, missionCoveragePrioritiesPolicy, noBylinesPolicy, ownershipFundingInfo, unnamedSourcesPolicy, verificationFactCheckingPolicy				"The publishingPrinciples property indicates (typically via <a class=""localLink"" href=""/URL"">URL</a>) a document describing the editorial principles of an <a class=""localLink"" href=""/Organization"">Organization</a> (or individual, e.g. a <a class=""localLink"" href=""/Person"">Person</a> writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> (e.g. <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a>) the principles are those of the party primarily responsible for the creation of the <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>.<br/><br/>

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a <a class=""localLink"" href=""/funder"">funder</a>) can be expressed using schema.org terminology."
JobPosting, Occupation	qualifications	EducationalOccupationalCredential, Text	qualifications	qualifications	pending:							Specific qualifications required for this role or Occupation.
Game, VideoGameSeries	quest	Thing	quest	quest								The task that a player-controlled character, or group of characters may complete in order to gain a reward.
AskAction	question	Question	question	question		object						A sub property of object. A question.
Property	range_includes	Class	range-includes	rangeIncludes	https://meta.schema.org							Relates a property to a class that constitutes (one of) the expected type(s) for values of the property.
Audiobook	read_by	Person	read-by	readBy	https://bib.schema.org	actor						A person who reads (performs) the audiobook.
RentAction	real_estate_agent	RealEstateAgent	real-estate-agent	realEstateAgent		participant						A sub property of participant. The real estate agent involved in the action.
CookAction	recipe	Recipe	recipe	recipe		instrument						A sub property of instrument. The recipe/instructions used to perform the action.
Recipe	recipe_instructions	CreativeWork, ItemList, Text	recipe-instructions	recipeInstructions		step						A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.
AuthorizeAction, CommunicateAction, DonateAction, GiveAction, Message, PayAction, ReturnAction, SendAction, TipAction	recipient	Audience, ContactPoint, Organization, Person	recipient	recipient		participant		bccRecipient, ccRecipient, toRecipient				A sub property of participant. The participant who is at the receiving end of the action.
EducationalOccupationalCredential	recognized_by	Organization	recognized-by	recognizedBy	pending:							An organization that acknowledges the validity, value or utility of a credential. Note: recognition may include a process of quality assurance or accreditation.
MedicalEntity	recognizing_authority	Organization	recognizing-authority	recognizingAuthority								If applicable, the organization that officially recognizes this entity as part of its endorsed system of medicine.
DietarySupplement	recommended_intake	RecommendedDoseSchedule	recommended-intake	recommendedIntake								Recommended intake of this supplement for a given population as defined by a specific recommending authority.
MusicRelease	record_label	Organization	record-label	recordLabel			http://purl.org/ontology/mo/label					The label that issued the release.
MusicComposition	recorded_as	MusicRecording	recorded-as	recordedAs					recordingOf			An audio recording of the work.
CreativeWork	recorded_at	Event	recorded-at	recordedAt					recordedIn			The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.
Event	recorded_in	CreativeWork	recorded-in	recordedIn					recordedAt			The CreativeWork that captured all or part of this Event.
MusicRecording	recording_of	MusicComposition	recording-of	recordingOf					recordedAs			The composition this track is a recording of.
MerchantReturnPolicy	refund_type	RefundTypeEnumeration	refund-type	refundType	pending:							A refund type, from an enumerated list.
LymphaticVessel, Vein	region_drained	AnatomicalStructure, AnatomicalSystem	region-drained	regionDrained								The anatomical or organ system drained by this vessel; generally refers to a specific part of an organ.
SuperficialAnatomy	related_anatomy	AnatomicalStructure, AnatomicalSystem	related-anatomy	relatedAnatomy								Anatomical systems or structures that relate to the superficial anatomy.
AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	related_condition	MedicalCondition	related-condition	relatedCondition								A medical condition associated with this anatomy.
Drug	related_drug	Drug	related-drug	relatedDrug								Any other drug related to this one, for example commonly-prescribed alternatives.
AnatomicalSystem	related_structure	AnatomicalStructure	related-structure	relatedStructure								Related anatomical structure(s) that are not part of the system but relate or connect to it, such as vascular bundles associated with an organ system.
AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	related_therapy	MedicalTherapy	related-therapy	relatedTherapy								A medical therapy related to this anatomy.
Person	related_to	Person	related-to	relatedTo								The most generic familial relation.
MusicRelease	release_of	MusicAlbum	release-of	releaseOf					albumRelease			The album this is a release of.
CreativeWork	released_event	PublicationEvent	released-event	releasedEvent								The place and time the release was issued, expressed as a PublicationEvent.
JobPosting	relevant_occupation	Occupation	relevant-occupation	relevantOccupation								The Occupation for the JobPosting.
MedicalEntity	relevant_specialty	MedicalSpecialty	relevant-specialty	relevantSpecialty								If applicable, a medical specialty in which this entity is relevant.
ReplaceAction	replacee	Thing	replacee	replacee		object						A sub property of object. The object that is being replaced.
ReplaceAction	replacer	Thing	replacer	replacer		object						A sub property of object. The object that replaces.
BioChemEntity	representation	PropertyValue, Text, URL	has-representation	hasRepresentation	pending:			hasBioPolymerSequence, inChI, inChIKey, smiles				A common representation such as a protein sequence or chemical structure for this entity. For images use schema.org/image.
Reservation	reservation_for	Thing	reservation-for	reservationFor								The thing -- flight, event, restaurant, etc. being reserved.
Reservation	reservation_status	ReservationStatusType	reservation-status	reservationStatus								The current status of the reservation.
